SEASON	RANK	TEAM	HOME GAMES	Home Attendance	HOME WINS	HOME LOSSES	HOME OTS	ROAD GAMES	 ROAD ATTENDANCE 	TOTAL GAMES	 TOTAL ATTENDANCE 
2000-01	9	Buffalo	41	731438	26	12	0	41	662888	82	1394326
2000-01	14	Dallas	41	697041	26	10	0	41	670268	82	1367309
2000-01	3	Philadelphia	41	802595	26	11	0	41	704462	82	1507057
2000-01	19	New Jersey	41	641340	24	11	0	41	682363	82	1323703
2000-01	16	Pittsburgh	42	683655	24	15	0	42	748692	84	1432347
2000-01	29	Carolina	41	547584	23	15	0	41	638575	82	1186159
2000-01	18	Nashville	42	662226	16	18	0	42	656964	84	1319190
2000-01	11	San Jose	41	716196	22	14	1	41	660141	82	1376337
2000-01	17	Los Angeles	41	658340	20	12	1	41	679616	82	1337956
2000-01	7	NY Rangers	41	746200	17	20	1	41	722748	82	1468948
2000-01	30	NY Islanders	41	464627	12	27	1	41	685561	82	1150188
2000-01	8	Colorado	41	738287	28	6	2	41	712170	82	1450457
2000-01	2	Detroit	41	819795	27	9	2	41	733449	82	1553244
2000-01	21	Washington	41	636914	24	9	2	41	678509	82	1315423
2000-01	20	Edmonton	41	640085	23	9	2	41	688267	82	1328352
2000-01	27	Arizona	41	583194	21	11	2	41	683183	82	1266377
2000-01	25	Tampa Bay	41	611173	17	19	2	41	640092	82	1251265
2000-01	28	Anaheim	41	553470	15	20	2	41	682445	82	1235915
2000-01	1	Montréal	41	824308	15	20	2	41	656533	82	1480841
2000-01	24	Chicago	41	614875	14	21	2	41	681748	82	1296623
2000-01	15	Calgary	41	681535	12	18	2	41	676664	82	1358199
2000-01	23	Atlanta	41	625780	10	23	2	41	639436	82	1265216
2000-01	4	St. Louis	41	800319	28	5	3	41	692818	82	1493137
2000-01	10	Ottawa	41	729515	26	7	3	41	668792	82	1398307
2000-01	22	Boston	41	632746	21	12	3	41	674942	82	1307688
2000-01	13	Vancouver	41	698077	21	12	3	41	687447	82	1385524
2000-01	12	Columbus	41	715738	19	15	3	41	656082	82	1371820
2000-01	5	Toronto	41	789567	19	11	4	41	704052	82	1493619
2000-01	6	Minnesota	41	751468	14	13	4	41	663872	82	1415340
2000-01	26	Florida	41	601857	12	18	4	41	666660	82	1268517
