,channel,clocks_per_click,control,denominator,key,name,notated_32nd_notes_per_beat,note,numerator,pitch,program,tempo,text,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,tpb,channel_chunk,channel_meta,instrument,octave,note_value,note_value_nmd,note_name,angle
29,3.0,,,,,,,3.0,,,,,,0,note_on,,1.0,3.0,1.0,0,0.0,960,3.0_0.0,,,0.0,3.0,9,A,90
2583,8.0,,,,,,,87.0,,,,,,0,note_on,,45.0,87.0,45.0,0,0.0,960,8.0_0.0,,,7.0,3.0,9,A,90
2595,8.0,,,,,,,70.0,,,,,,0,note_on,,127.0,70.0,127.0,0,0.0,960,8.0_0.0,,,5.0,10.0,10,A#,300
2596,8.0,,,,,,,39.0,,,,,,0,note_on,,115.0,39.0,115.0,0,0.0,960,8.0_0.0,,,3.0,3.0,9,A,90
2585,7.0,,,,,,,82.0,,,,,,0,note_on,,127.0,82.0,127.0,1,0.0005208333333333333,960,7.0_0.0,,,6.0,10.0,10,A#,300
2650,7.0,,,,,,,75.0,,,,,,0,note_on,,127.0,75.0,127.0,4,0.0020833333333333333,960,7.0_0.0,,,6.0,3.0,9,A,90
2626,8.0,,,,,,,87.0,,,,,,0,note_on,,45.0,87.0,45.0,8,0.004166666666666667,960,8.0_0.0,,,7.0,3.0,9,A,90
2568,5.0,,,,,,,58.0,,,,,,0,note_on,,73.0,58.0,73.0,10,0.005208333333333333,960,5.0_0.0,,,4.0,10.0,10,A#,300
2601,5.0,,,,,,,63.0,,,,,,0,note_on,,77.0,63.0,77.0,10,0.005208333333333333,960,5.0_0.0,,,5.0,3.0,9,A,90
2600,5.0,,,,,,,55.0,,,,,,0,note_on,,52.0,55.0,52.0,10,0.005208333333333333,960,5.0_0.0,,,4.0,7.0,1,C#,210
2716,7.0,,,,,,,70.0,,,,,,0,note_on,,127.0,70.0,127.0,13,0.0067708333333333336,960,7.0_0.0,,,5.0,10.0,10,A#,300
2691,7.0,,,,,,,77.0,,,,,,0,note_on,,127.0,77.0,127.0,13,0.0067708333333333336,960,7.0_0.0,,,6.0,5.0,11,B,150
140,12.0,,,,,,,70.0,,,,,,0,note_on,,126.0,70.0,126.0,21,0.0109375,960,12.0_0.0,,,5.0,10.0,10,A#,300
131,10.0,,,,,,,70.0,,,,,,0,note_on,,126.0,70.0,126.0,21,0.0109375,960,10.0_0.0,,,5.0,10.0,10,A#,300
130,10.0,,,,,,,63.0,,,,,,0,note_on,,127.0,63.0,127.0,21,0.0109375,960,10.0_0.0,,,5.0,3.0,9,A,90
129,10.0,,,,,,,67.0,,,,,,0,note_on,,127.0,67.0,127.0,21,0.0109375,960,10.0_0.0,,,5.0,7.0,1,C#,210
139,12.0,,,,,,,63.0,,,,,,0,note_on,,127.0,63.0,127.0,21,0.0109375,960,12.0_0.0,,,5.0,3.0,9,A,90
138,12.0,,,,,,,67.0,,,,,,0,note_on,,127.0,67.0,127.0,21,0.0109375,960,12.0_0.0,,,5.0,7.0,1,C#,210
2762,7.0,,,,,,,82.0,,,,,,0,note_on,,127.0,82.0,127.0,30,0.015625,960,7.0_0.0,,,6.0,10.0,10,A#,300
457,9.0,,,,,,,46.0,,,,,,0,note_on,,127.0,46.0,127.0,54,0.028125,960,9.0_0.0,,,3.0,10.0,10,A#,300
2841,7.0,,,,,,,77.0,,,,,,0,note_on,,127.0,77.0,127.0,71,0.03697916666666667,960,7.0_0.0,,,6.0,5.0,11,B,150
2811,7.0,,,,,,,75.0,,,,,,0,note_on,,127.0,75.0,127.0,71,0.03697916666666667,960,7.0_0.0,,,6.0,3.0,9,A,90
2635,8.0,,,,,,,87.0,,,,,,3,note_on,,45.0,87.0,45.0,117,0.0609375,960,8.0_0.0,,,7.0,3.0,9,A,90
2866,7.0,,,,,,,75.0,,,,,,0,note_on,,127.0,75.0,127.0,121,0.06302083333333333,960,7.0_0.0,,,6.0,3.0,9,A,90
478,9.0,,,,,,,70.0,,,,,,0,note_on,,40.0,70.0,40.0,156,0.08125,960,9.0_0.0,,,5.0,10.0,10,A#,300
479,9.0,,,,,,,35.0,,,,,,0,note_on,,60.0,35.0,60.0,156,0.08125,960,9.0_0.0,,,2.0,11.0,5,F,330
483,9.0,,,,,,,36.0,,,,,,0,note_on,,126.0,36.0,126.0,156,0.08125,960,9.0_0.0,,,3.0,0.0,0,C,0
484,9.0,,,,,,,42.0,,,,,,0,note_on,,85.0,42.0,85.0,156,0.08125,960,9.0_0.0,,,3.0,6.0,6,F#,180
