,channel,clocks_per_click,control,denominator,key,name,notated_32nd_notes_per_beat,note,numerator,program,tempo,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,octave,note_value,note_value_nmd,note_name,angle
63,0.0,,,,,,,55.0,,,,1380,note_on,,100.0,55.0,100.0,51420,214.25,4.0,7.0,1,C#,210
65,0.0,,,,,,,67.0,,,,0,note_on,,100.0,67.0,100.0,51480,214.5,5.0,7.0,1,C#,210
67,0.0,,,,,,,67.0,,,,0,note_on,,100.0,67.0,100.0,51600,215.0,5.0,7.0,1,C#,210
69,0.0,,,,,,,67.0,,,,0,note_on,,100.0,67.0,100.0,51660,215.25,5.0,7.0,1,C#,210
71,0.0,,,,,,,67.0,,,,0,note_on,,100.0,67.0,100.0,51780,215.75,5.0,7.0,1,C#,210
73,0.0,,,,,,,69.0,,,,0,note_on,,100.0,69.0,100.0,51840,216.0,5.0,9.0,3,D#,270
75,0.0,,,,,,,69.0,,,,0,note_on,,100.0,69.0,100.0,51900,216.25,5.0,9.0,3,D#,270
77,0.0,,,,,,,69.0,,,,0,note_on,,100.0,69.0,100.0,51960,216.5,5.0,9.0,3,D#,270
79,0.0,,,,,,,64.0,,,,60,note_on,,100.0,64.0,100.0,52140,217.25,5.0,4.0,4,E,120
81,0.0,,,,,,,67.0,,,,0,note_on,,100.0,67.0,100.0,52200,217.5,5.0,7.0,1,C#,210
83,0.0,,,,,,,67.0,,,,0,note_on,,100.0,67.0,100.0,52260,217.75,5.0,7.0,1,C#,210
85,0.0,,,,,,,67.0,,,,0,note_on,,100.0,67.0,100.0,52320,218.0,5.0,7.0,1,C#,210
87,0.0,,,,,,,67.0,,,,7,note_on,,100.0,67.0,100.0,52440,218.5,5.0,7.0,1,C#,210
89,0.0,,,,,,,67.0,,,,0,note_on,,100.0,67.0,100.0,52500,218.75,5.0,7.0,1,C#,210
91,0.0,,,,,,,69.0,,,,0,note_on,,100.0,69.0,100.0,52560,219.0,5.0,9.0,3,D#,270
93,0.0,,,,,,,69.0,,,,7,note_on,,100.0,69.0,100.0,52680,219.5,5.0,9.0,3,D#,270
95,0.0,,,,,,,69.0,,,,0,note_on,,100.0,69.0,100.0,52740,219.75,5.0,9.0,3,D#,270
97,0.0,,,,,,,67.0,,,,0,note_on,,80.0,67.0,80.0,52800,220.0,5.0,7.0,1,C#,210
99,0.0,,,,,,,67.0,,,,0,note_on,,100.0,67.0,100.0,52860,220.25,5.0,7.0,1,C#,210
101,0.0,,,,,,,69.0,,,,0,note_on,,100.0,69.0,100.0,52920,220.5,5.0,9.0,3,D#,270
103,0.0,,,,,,,69.0,,,,0,note_on,,100.0,69.0,100.0,52980,220.75,5.0,9.0,3,D#,270
105,0.0,,,,,,,69.0,,,,0,note_on,,100.0,69.0,100.0,53160,221.5,5.0,9.0,3,D#,270
107,0.0,,,,,,,69.0,,,,0,note_on,,100.0,69.0,100.0,53220,221.75,5.0,9.0,3,D#,270
109,0.0,,,,,,,69.0,,,,0,note_on,,100.0,69.0,100.0,53280,222.0,5.0,9.0,3,D#,270
111,0.0,,,,,,,67.0,,,,7,note_on,,100.0,67.0,100.0,53400,222.5,5.0,7.0,1,C#,210
113,0.0,,,,,,,67.0,,,,0,note_on,,100.0,67.0,100.0,53460,222.75,5.0,7.0,1,C#,210
115,0.0,,,,,,,65.0,,,,0,note_on,,100.0,65.0,100.0,53520,223.0,5.0,5.0,11,B,150
117,0.0,,,,,,,67.0,,,,0,note_on,,80.0,67.0,80.0,53580,223.25,5.0,7.0,1,C#,210
119,0.0,,,,,,,67.0,,,,0,note_on,,100.0,67.0,100.0,53640,223.5,5.0,7.0,1,C#,210
121,0.0,,,,,,,67.0,,,,0,note_on,,100.0,67.0,100.0,53700,223.75,5.0,7.0,1,C#,210
123,0.0,,,,,,,55.0,,,,300,note_on,,100.0,55.0,100.0,54300,226.25,4.0,7.0,1,C#,210
125,0.0,,,,,,,67.0,,,,0,note_on,,100.0,67.0,100.0,54360,226.5,5.0,7.0,1,C#,210
127,0.0,,,,,,,67.0,,,,7,note_on,,100.0,67.0,100.0,54480,227.0,5.0,7.0,1,C#,210
129,0.0,,,,,,,67.0,,,,0,note_on,,100.0,67.0,100.0,54540,227.25,5.0,7.0,1,C#,210
131,0.0,,,,,,,67.0,,,,7,note_on,,100.0,67.0,100.0,54660,227.75,5.0,7.0,1,C#,210
133,0.0,,,,,,,69.0,,,,0,note_on,,100.0,69.0,100.0,54720,228.0,5.0,9.0,3,D#,270
135,0.0,,,,,,,69.0,,,,7,note_on,,100.0,69.0,100.0,54840,228.5,5.0,9.0,3,D#,270
137,0.0,,,,,,,71.0,,,,0,note_on,,100.0,71.0,100.0,54900,228.75,5.0,11.0,5,F,330
139,0.0,,,,,,,67.0,,,,7,note_on,,100.0,67.0,100.0,55020,229.25,5.0,7.0,1,C#,210
141,0.0,,,,,,,72.0,,,,0,note_on,,100.0,72.0,100.0,55080,229.5,6.0,0.0,0,C,0
143,0.0,,,,,,,72.0,,,,0,note_on,,100.0,72.0,100.0,55140,229.75,6.0,0.0,0,C,0
145,0.0,,,,,,,72.0,,,,0,note_on,,100.0,72.0,100.0,55200,230.0,6.0,0.0,0,C,0
147,0.0,,,,,,,69.0,,,,3,note_on,,100.0,69.0,100.0,55380,230.75,5.0,9.0,3,D#,270
149,0.0,,,,,,,72.0,,,,0,note_on,,100.0,72.0,100.0,55440,231.0,6.0,0.0,0,C,0
151,0.0,,,,,,,72.0,,,,0,note_on,,100.0,72.0,100.0,55500,231.25,6.0,0.0,0,C,0
153,0.0,,,,,,,74.0,,,,0,note_on,,100.0,74.0,100.0,55560,231.5,6.0,2.0,2,D,60
155,0.0,,,,,,,72.0,,,,67,note_on,,100.0,72.0,100.0,55740,232.25,6.0,0.0,0,C,0
157,0.0,,,,,,,74.0,,,,0,note_on,,100.0,74.0,100.0,55800,232.5,6.0,2.0,2,D,60
159,0.0,,,,,,,74.0,,,,0,note_on,,100.0,74.0,100.0,55860,232.75,6.0,2.0,2,D,60
161,0.0,,,,,,,74.0,,,,0,note_on,,100.0,74.0,100.0,55920,233.0,6.0,2.0,2,D,60
163,0.0,,,,,,,74.0,,,,7,note_on,,100.0,74.0,100.0,56100,233.75,6.0,2.0,2,D,60
165,0.0,,,,,,,76.0,,,,0,note_on,,100.0,76.0,100.0,56160,234.0,6.0,4.0,4,E,120
167,0.0,,,,,,,76.0,,,,7,note_on,,100.0,76.0,100.0,56280,234.5,6.0,4.0,4,E,120
169,0.0,,,,,,,76.0,,,,7,note_on,,100.0,76.0,100.0,56400,235.0,6.0,4.0,4,E,120
171,0.0,,,,,,,74.0,,,,0,note_on,,100.0,74.0,100.0,56460,235.25,6.0,2.0,2,D,60
173,0.0,,,,,,,74.0,,,,0,note_on,,100.0,74.0,100.0,56520,235.5,6.0,2.0,2,D,60
175,0.0,,,,,,,72.0,,,,0,note_on,,80.0,72.0,80.0,56580,235.75,6.0,0.0,0,C,0
177,0.0,,,,,,,72.0,,,,0,note_on,,100.0,72.0,100.0,56640,236.0,6.0,0.0,0,C,0
179,0.0,,,,,,,64.0,,,,60,note_on,,100.0,64.0,100.0,57060,237.75,5.0,4.0,4,E,120
181,0.0,,,,,,,67.0,,,,7,note_on,,100.0,67.0,100.0,57180,238.25,5.0,7.0,1,C#,210
183,0.0,,,,,,,69.0,,,,0,note_on,,99.0,69.0,99.0,57240,238.5,5.0,9.0,3,D#,270
185,0.0,,,,,,,69.0,,,,7,note_on,,99.0,69.0,99.0,57420,239.25,5.0,9.0,3,D#,270
187,0.0,,,,,,,69.0,,,,67,note_on,,100.0,69.0,100.0,57780,240.75,5.0,9.0,3,D#,270
189,0.0,,,,,,,67.0,,,,7,note_on,,100.0,67.0,100.0,57900,241.25,5.0,7.0,1,C#,210
191,0.0,,,,,,,64.0,,,,0,note_on,,99.0,64.0,99.0,57960,241.5,5.0,4.0,4,E,120
193,0.0,,,,,,,64.0,,,,7,note_on,,99.0,64.0,99.0,58140,242.25,5.0,4.0,4,E,120
195,0.0,,,,,,,64.0,,,,67,note_on,,100.0,64.0,100.0,58500,243.75,5.0,4.0,4,E,120
197,0.0,,,,,,,67.0,,,,7,note_on,,100.0,67.0,100.0,58620,244.25,5.0,7.0,1,C#,210
199,0.0,,,,,,,69.0,,,,0,note_on,,99.0,69.0,99.0,58680,244.5,5.0,9.0,3,D#,270
201,0.0,,,,,,,69.0,,,,7,note_on,,99.0,69.0,99.0,58860,245.25,5.0,9.0,3,D#,270
203,0.0,,,,,,,69.0,,,,67,note_on,,100.0,69.0,100.0,59220,246.75,5.0,9.0,3,D#,270
205,0.0,,,,,,,67.0,,,,7,note_on,,100.0,67.0,100.0,59340,247.25,5.0,7.0,1,C#,210
207,0.0,,,,,,,64.0,,,,0,note_on,,100.0,64.0,100.0,59400,247.5,5.0,4.0,4,E,120
209,0.0,,,,,,,65.0,,,,3,note_on,,100.0,65.0,100.0,59640,248.5,5.0,5.0,11,B,150
211,0.0,,,,,,,64.0,,,,0,note_on,,100.0,64.0,100.0,59700,248.75,5.0,4.0,4,E,120
213,0.0,,,,,,,62.0,,,,0,note_on,,100.0,62.0,100.0,59760,249.0,5.0,2.0,2,D,60
215,0.0,,,,,,,60.0,,,,7,note_on,,100.0,60.0,100.0,60060,250.25,5.0,0.0,0,C,0
217,0.0,,,,,,,60.0,,,,0,note_on,,100.0,60.0,100.0,60120,250.5,5.0,0.0,0,C,0
219,0.0,,,,,,,55.0,,,,660,note_on,,100.0,55.0,100.0,61140,254.75,4.0,7.0,1,C#,210
221,0.0,,,,,,,67.0,,,,0,note_on,,100.0,67.0,100.0,61200,255.0,5.0,7.0,1,C#,210
223,0.0,,,,,,,67.0,,,,0,note_on,,100.0,67.0,100.0,61320,255.5,5.0,7.0,1,C#,210
225,0.0,,,,,,,67.0,,,,0,note_on,,100.0,67.0,100.0,61380,255.75,5.0,7.0,1,C#,210
227,0.0,,,,,,,67.0,,,,0,note_on,,100.0,67.0,100.0,61500,256.25,5.0,7.0,1,C#,210
229,0.0,,,,,,,69.0,,,,0,note_on,,100.0,69.0,100.0,61560,256.5,5.0,9.0,3,D#,270
231,0.0,,,,,,,69.0,,,,0,note_on,,100.0,69.0,100.0,61620,256.75,5.0,9.0,3,D#,270
233,0.0,,,,,,,69.0,,,,0,note_on,,100.0,69.0,100.0,61680,257.0,5.0,9.0,3,D#,270
235,0.0,,,,,,,64.0,,,,60,note_on,,100.0,64.0,100.0,61860,257.75,5.0,4.0,4,E,120
237,0.0,,,,,,,67.0,,,,0,note_on,,100.0,67.0,100.0,61920,258.0,5.0,7.0,1,C#,210
239,0.0,,,,,,,67.0,,,,0,note_on,,100.0,67.0,100.0,61980,258.25,5.0,7.0,1,C#,210
241,0.0,,,,,,,67.0,,,,0,note_on,,100.0,67.0,100.0,62040,258.5,5.0,7.0,1,C#,210
243,0.0,,,,,,,67.0,,,,7,note_on,,100.0,67.0,100.0,62160,259.0,5.0,7.0,1,C#,210
245,0.0,,,,,,,67.0,,,,0,note_on,,100.0,67.0,100.0,62220,259.25,5.0,7.0,1,C#,210
247,0.0,,,,,,,69.0,,,,0,note_on,,100.0,69.0,100.0,62280,259.5,5.0,9.0,3,D#,270
249,0.0,,,,,,,69.0,,,,7,note_on,,100.0,69.0,100.0,62400,260.0,5.0,9.0,3,D#,270
251,0.0,,,,,,,69.0,,,,0,note_on,,100.0,69.0,100.0,62460,260.25,5.0,9.0,3,D#,270
253,0.0,,,,,,,67.0,,,,0,note_on,,80.0,67.0,80.0,62520,260.5,5.0,7.0,1,C#,210
255,0.0,,,,,,,67.0,,,,0,note_on,,100.0,67.0,100.0,62580,260.75,5.0,7.0,1,C#,210
257,0.0,,,,,,,69.0,,,,0,note_on,,100.0,69.0,100.0,62640,261.0,5.0,9.0,3,D#,270
259,0.0,,,,,,,69.0,,,,0,note_on,,100.0,69.0,100.0,62700,261.25,5.0,9.0,3,D#,270
261,0.0,,,,,,,69.0,,,,0,note_on,,100.0,69.0,100.0,62880,262.0,5.0,9.0,3,D#,270
263,0.0,,,,,,,69.0,,,,0,note_on,,100.0,69.0,100.0,62940,262.25,5.0,9.0,3,D#,270
