,channel,note_midi_value,prior_midi_note,octave,note_name,prior_octave,prior_note_name,edge_count
0,0.0,55.0,60.0,4.0,C#,5.0,C,4
1,0.0,55.0,67.0,4.0,C#,5.0,C#,5
2,0.0,60.0,60.0,5.0,C,5.0,C,5
3,0.0,60.0,62.0,5.0,C,5.0,D,5
4,0.0,62.0,64.0,5.0,D,5.0,E,5
5,0.0,64.0,64.0,5.0,E,5.0,E,10
6,0.0,64.0,65.0,5.0,E,5.0,B,5
7,0.0,64.0,67.0,5.0,E,5.0,C#,10
8,0.0,64.0,69.0,5.0,E,5.0,D#,5
9,0.0,64.0,72.0,5.0,E,6.0,C,5
10,0.0,65.0,64.0,5.0,B,5.0,E,5
11,0.0,65.0,67.0,5.0,B,5.0,C#,5
12,0.0,67.0,55.0,5.0,C#,4.0,C#,10
13,0.0,67.0,64.0,5.0,C#,5.0,E,15
14,0.0,67.0,65.0,5.0,C#,5.0,B,5
15,0.0,67.0,67.0,5.0,C#,5.0,C#,70
16,0.0,67.0,69.0,5.0,C#,5.0,D#,20
17,0.0,67.0,71.0,5.0,C#,5.0,F,5
18,0.0,69.0,67.0,5.0,D#,5.0,C#,30
19,0.0,69.0,69.0,5.0,D#,5.0,D#,65
20,0.0,69.0,72.0,5.0,D#,6.0,C,5
21,0.0,71.0,69.0,5.0,F,5.0,D#,5
22,0.0,72.0,67.0,6.0,C,5.0,C#,5
23,0.0,72.0,69.0,6.0,C,5.0,D#,5
24,0.0,72.0,72.0,6.0,C,6.0,C,20
25,0.0,72.0,74.0,6.0,C,6.0,D,10
26,0.0,74.0,72.0,6.0,D,6.0,C,10
27,0.0,74.0,74.0,6.0,D,6.0,D,20
28,0.0,74.0,76.0,6.0,D,6.0,E,5
29,0.0,76.0,74.0,6.0,E,6.0,D,5
30,0.0,76.0,76.0,6.0,E,6.0,E,10
31,1.0,48.0,62.0,4.0,C,5.0,D,1
32,1.0,48.0,65.0,4.0,C,5.0,B,5
33,1.0,50.0,71.0,4.0,D,5.0,F,5
34,1.0,52.0,57.0,4.0,E,4.0,D#,5
35,1.0,53.0,48.0,4.0,B,4.0,C,5
36,1.0,55.0,50.0,4.0,C#,4.0,D,5
37,1.0,55.0,60.0,4.0,C#,5.0,C,32
38,1.0,55.0,64.0,4.0,C#,5.0,E,32
39,1.0,57.0,52.0,4.0,D#,4.0,E,5
40,1.0,57.0,60.0,4.0,D#,5.0,C,61
41,1.0,57.0,64.0,4.0,D#,5.0,E,36
42,1.0,57.0,65.0,4.0,D#,5.0,B,30
43,1.0,57.0,69.0,4.0,D#,5.0,D#,5
44,1.0,59.0,62.0,4.0,F,5.0,D,30
45,1.0,59.0,64.0,4.0,F,5.0,E,5
46,1.0,59.0,67.0,4.0,F,5.0,C#,30
47,1.0,60.0,48.0,5.0,C,4.0,C,1
48,1.0,60.0,55.0,5.0,C,4.0,C#,32
49,1.0,60.0,57.0,5.0,C,4.0,D#,71
50,1.0,60.0,60.0,5.0,C,5.0,C,10
51,1.0,60.0,64.0,5.0,C,5.0,E,63
52,1.0,60.0,65.0,5.0,C,5.0,B,30
53,1.0,62.0,53.0,5.0,D,4.0,B,5
54,1.0,62.0,59.0,5.0,D,4.0,F,30
55,1.0,62.0,60.0,5.0,D,5.0,C,5
56,1.0,62.0,67.0,5.0,D,5.0,C#,20
57,1.0,64.0,55.0,5.0,E,4.0,C#,5
58,1.0,64.0,59.0,5.0,E,4.0,F,10
59,1.0,64.0,60.0,5.0,E,5.0,C,45
60,1.0,64.0,62.0,5.0,E,5.0,D,14
61,1.0,64.0,64.0,5.0,E,5.0,E,5
62,1.0,64.0,67.0,5.0,E,5.0,C#,37
63,1.0,64.0,69.0,5.0,E,5.0,D#,31
64,1.0,65.0,60.0,5.0,B,5.0,C,30
65,1.0,65.0,64.0,5.0,B,5.0,E,5
66,1.0,65.0,69.0,5.0,B,5.0,D#,30
67,1.0,67.0,55.0,5.0,C#,4.0,C#,32
68,1.0,67.0,60.0,5.0,C#,5.0,C,20
69,1.0,67.0,62.0,5.0,C#,5.0,D,10
70,1.0,67.0,64.0,5.0,C#,5.0,E,1
71,1.0,67.0,71.0,5.0,C#,5.0,F,25
72,1.0,69.0,57.0,5.0,D#,4.0,D#,61
73,1.0,69.0,60.0,5.0,D#,5.0,C,5
74,1.0,71.0,59.0,5.0,F,4.0,F,25
75,1.0,71.0,62.0,5.0,F,5.0,D,5
76,2.0,40.0,47.0,3.0,E,3.0,F,5
77,2.0,41.0,45.0,3.0,B,3.0,D#,15
78,2.0,41.0,47.0,3.0,B,3.0,F,20
79,2.0,43.0,41.0,3.0,C#,3.0,B,5
80,2.0,43.0,45.0,3.0,C#,3.0,D#,10
81,2.0,43.0,47.0,3.0,C#,3.0,F,15
82,2.0,45.0,41.0,3.0,D#,3.0,B,30
83,2.0,45.0,43.0,3.0,D#,3.0,C#,5
84,2.0,45.0,45.0,3.0,D#,3.0,D#,10
85,2.0,45.0,47.0,3.0,D#,3.0,F,26
86,2.0,45.0,52.0,3.0,D#,4.0,E,5
87,2.0,47.0,40.0,3.0,F,3.0,E,5
88,2.0,47.0,43.0,3.0,F,3.0,C#,25
89,2.0,47.0,45.0,3.0,F,3.0,D#,31
90,2.0,47.0,48.0,3.0,F,4.0,C,32
91,2.0,48.0,45.0,4.0,C,3.0,D#,5
92,2.0,48.0,47.0,4.0,C,3.0,F,27
93,2.0,48.0,67.0,4.0,C,5.0,C#,1
94,2.0,52.0,45.0,4.0,E,3.0,D#,5
95,3.0,40.0,64.0,3.0,E,5.0,E,5
96,3.0,40.0,67.0,3.0,E,5.0,C#,5
97,3.0,41.0,64.0,3.0,B,5.0,E,25
98,3.0,41.0,65.0,3.0,B,5.0,B,40
99,3.0,43.0,64.0,3.0,C#,5.0,E,15
100,3.0,43.0,65.0,3.0,C#,5.0,B,15
101,3.0,43.0,67.0,3.0,C#,5.0,C#,25
102,3.0,45.0,41.0,3.0,D#,3.0,B,65
103,3.0,45.0,64.0,3.0,D#,5.0,E,68
104,3.0,45.0,65.0,3.0,D#,5.0,B,5
105,3.0,45.0,67.0,3.0,D#,5.0,C#,9
106,3.0,47.0,40.0,3.0,F,3.0,E,10
107,3.0,47.0,43.0,3.0,F,3.0,C#,55
108,3.0,48.0,48.0,4.0,C,4.0,C,1
109,3.0,48.0,57.0,4.0,C,4.0,D#,65
110,3.0,48.0,64.0,4.0,C,5.0,E,45
111,3.0,48.0,65.0,4.0,C,5.0,B,5
112,3.0,48.0,67.0,4.0,C,5.0,C#,16
113,3.0,50.0,47.0,4.0,D,3.0,F,55
114,3.0,52.0,45.0,4.0,E,3.0,D#,82
115,3.0,52.0,47.0,4.0,E,3.0,F,10
116,3.0,52.0,48.0,4.0,E,4.0,C,67
117,3.0,55.0,50.0,4.0,C#,4.0,D,55
118,3.0,55.0,52.0,4.0,C#,4.0,E,77
119,3.0,55.0,55.0,4.0,C#,4.0,C#,1
120,3.0,55.0,60.0,4.0,C#,5.0,C,1
121,3.0,55.0,64.0,4.0,C#,5.0,E,75
122,3.0,55.0,67.0,4.0,C#,5.0,C#,55
123,3.0,57.0,45.0,4.0,D#,3.0,D#,65
124,3.0,57.0,52.0,4.0,D#,4.0,E,82
125,3.0,57.0,57.0,4.0,D#,4.0,D#,4
126,3.0,57.0,60.0,4.0,D#,5.0,C,4
127,3.0,57.0,64.0,4.0,D#,5.0,E,78
128,3.0,57.0,65.0,4.0,D#,5.0,B,65
129,3.0,59.0,55.0,4.0,F,4.0,C#,130
130,3.0,60.0,48.0,5.0,C,4.0,C,65
131,3.0,60.0,55.0,5.0,C,4.0,C#,133
132,3.0,60.0,57.0,5.0,C,4.0,D#,229
133,3.0,60.0,64.0,5.0,C,5.0,E,5
134,3.0,64.0,59.0,5.0,E,4.0,F,20
135,3.0,64.0,60.0,5.0,E,5.0,C,297
136,3.0,64.0,64.0,5.0,E,5.0,E,5
137,3.0,65.0,60.0,5.0,B,5.0,C,130
138,3.0,67.0,59.0,5.0,C#,4.0,F,110
139,4.0,40.0,47.0,3.0,E,3.0,F,5
140,4.0,41.0,45.0,3.0,B,3.0,D#,15
141,4.0,41.0,47.0,3.0,B,3.0,F,20
142,4.0,43.0,41.0,3.0,C#,3.0,B,5
143,4.0,43.0,45.0,3.0,C#,3.0,D#,10
144,4.0,43.0,47.0,3.0,C#,3.0,F,14
145,4.0,45.0,41.0,3.0,D#,3.0,B,30
146,4.0,45.0,43.0,3.0,D#,3.0,C#,5
147,4.0,45.0,45.0,3.0,D#,3.0,D#,15
148,4.0,45.0,47.0,3.0,D#,3.0,F,26
149,4.0,47.0,40.0,3.0,F,3.0,E,5
150,4.0,47.0,43.0,3.0,F,3.0,C#,24
151,4.0,47.0,45.0,3.0,F,3.0,D#,31
152,4.0,47.0,48.0,3.0,F,4.0,C,31
153,4.0,48.0,45.0,4.0,C,3.0,D#,5
154,4.0,48.0,47.0,4.0,C,3.0,F,26
155,4.0,48.0,64.0,4.0,C,5.0,E,1
156,5.0,57.0,72.0,4.0,D#,6.0,C,10
157,5.0,57.0,74.0,4.0,D#,6.0,D,4
158,5.0,60.0,72.0,5.0,C,6.0,C,5
159,5.0,60.0,74.0,5.0,C,6.0,D,6
160,5.0,64.0,72.0,5.0,E,6.0,C,5
161,5.0,65.0,48.0,5.0,B,4.0,C,1
162,5.0,65.0,69.0,5.0,B,5.0,D#,4
163,5.0,65.0,72.0,5.0,B,6.0,C,15
164,5.0,67.0,72.0,5.0,C#,6.0,C,6
165,5.0,67.0,76.0,5.0,C#,6.0,E,10
166,5.0,69.0,72.0,5.0,D#,6.0,C,4
167,5.0,69.0,76.0,5.0,D#,6.0,E,14
168,5.0,69.0,77.0,5.0,D#,6.0,B,15
169,5.0,71.0,79.0,5.0,F,6.0,C#,10
170,5.0,72.0,67.0,6.0,C,5.0,C#,11
171,5.0,72.0,69.0,6.0,C,5.0,D#,29
172,5.0,72.0,76.0,6.0,C,6.0,E,21
173,5.0,72.0,77.0,6.0,C,6.0,B,25
174,5.0,74.0,71.0,6.0,D,5.0,F,10
175,5.0,74.0,79.0,6.0,D,6.0,C#,10
176,5.0,76.0,57.0,6.0,E,4.0,D#,14
177,5.0,76.0,60.0,6.0,E,5.0,C,11
178,5.0,76.0,72.0,6.0,E,6.0,C,5
179,5.0,76.0,79.0,6.0,E,6.0,C#,10
180,5.0,76.0,81.0,6.0,E,6.0,D#,10
181,5.0,77.0,65.0,6.0,B,5.0,B,20
182,5.0,77.0,81.0,6.0,B,6.0,D#,20
183,5.0,79.0,64.0,6.0,C#,5.0,E,5
184,5.0,79.0,67.0,6.0,C#,5.0,C#,5
185,5.0,79.0,72.0,6.0,C#,6.0,C,10
186,5.0,79.0,83.0,6.0,C#,6.0,F,10
187,5.0,81.0,72.0,6.0,D#,6.0,C,25
188,5.0,81.0,76.0,6.0,D#,6.0,E,5
189,5.0,83.0,74.0,6.0,F,6.0,D,10
190,9.0,36.0,42.0,3.0,C,3.0,F#,80
191,9.0,36.0,49.0,3.0,C,4.0,G,5
192,9.0,40.0,36.0,3.0,E,3.0,C,5
193,9.0,40.0,40.0,3.0,E,3.0,E,10
194,9.0,40.0,42.0,3.0,E,3.0,F#,90
195,9.0,42.0,36.0,3.0,F#,3.0,C,39
196,9.0,42.0,40.0,3.0,F#,3.0,E,50
197,9.0,42.0,42.0,3.0,F#,3.0,F#,103
198,9.0,42.0,54.0,3.0,F#,4.0,F#,85
199,9.0,42.0,72.0,3.0,F#,6.0,C,1
200,9.0,49.0,40.0,4.0,G,3.0,E,5
201,9.0,49.0,42.0,4.0,G,3.0,F#,5
202,9.0,49.0,54.0,4.0,G,4.0,F#,5
203,9.0,54.0,36.0,4.0,F#,3.0,C,40
204,9.0,54.0,40.0,4.0,F#,3.0,E,40
205,9.0,54.0,49.0,4.0,F#,4.0,G,10
206,9.0,54.0,54.0,4.0,F#,4.0,F#,95
