,channel,clocks_per_click,control,denominator,name,notated_32nd_notes_per_beat,note,numerator,pitch,program,tempo,text,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,octave,note_value,note_value_nmd,note_name,angle
65,0.0,,,,,,52.0,,,,,,1920,note_on,,76.0,52.0,76.0,168960,176.0,4.0,4.0,4,E,120
66,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,168960,176.0,3.0,11.0,5,F,330
67,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,168960,176.0,3.0,4.0,4,E,120
71,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,169440,176.5,4.0,4.0,4,E,120
72,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,169440,176.5,3.0,11.0,5,F,330
73,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,169440,176.5,3.0,4.0,4,E,120
77,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,169920,177.0,4.0,4.0,4,E,120
78,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,169920,177.0,3.0,11.0,5,F,330
79,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,169920,177.0,3.0,4.0,4,E,120
83,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,170400,177.5,4.0,4.0,4,E,120
84,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,170400,177.5,3.0,11.0,5,F,330
85,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,170400,177.5,3.0,4.0,4,E,120
89,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,170880,178.0,4.0,4.0,4,E,120
90,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,170880,178.0,3.0,11.0,5,F,330
91,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,170880,178.0,3.0,4.0,4,E,120
95,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,171360,178.5,4.0,4.0,4,E,120
96,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,171360,178.5,3.0,11.0,5,F,330
97,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,171360,178.5,3.0,4.0,4,E,120
101,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,171840,179.0,4.0,4.0,4,E,120
102,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,171840,179.0,3.0,11.0,5,F,330
103,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,171840,179.0,3.0,4.0,4,E,120
107,0.0,,,,,,52.0,,,,,,120,note_on,,95.0,52.0,95.0,172320,179.5,4.0,4.0,4,E,120
108,0.0,,,,,,47.0,,,,,,0,note_on,,95.0,47.0,95.0,172320,179.5,3.0,11.0,5,F,330
109,0.0,,,,,,40.0,,,,,,0,note_on,,95.0,40.0,95.0,172320,179.5,3.0,4.0,4,E,120
113,0.0,,,,,,55.0,,,,,,0,note_on,,95.0,55.0,95.0,172440,179.625,4.0,7.0,1,C#,210
114,0.0,,,,,,50.0,,,,,,0,note_on,,95.0,50.0,95.0,172440,179.625,4.0,2.0,2,D,60
115,0.0,,,,,,43.0,,,,,,0,note_on,,95.0,43.0,95.0,172440,179.625,3.0,7.0,1,C#,210
119,0.0,,,,,,52.0,,,,,,0,note_on,,95.0,52.0,95.0,172800,180.0,4.0,4.0,4,E,120
120,0.0,,,,,,47.0,,,,,,0,note_on,,95.0,47.0,95.0,172800,180.0,3.0,11.0,5,F,330
121,0.0,,,,,,40.0,,,,,,0,note_on,,95.0,40.0,95.0,172800,180.0,3.0,4.0,4,E,120
125,0.0,,,,,,52.0,,,,,,240,note_on,,76.0,52.0,76.0,173280,180.5,4.0,4.0,4,E,120
126,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,173280,180.5,3.0,11.0,5,F,330
127,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,173280,180.5,3.0,4.0,4,E,120
131,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,173760,181.0,4.0,4.0,4,E,120
132,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,173760,181.0,3.0,11.0,5,F,330
133,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,173760,181.0,3.0,4.0,4,E,120
137,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,174240,181.5,4.0,4.0,4,E,120
138,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,174240,181.5,3.0,11.0,5,F,330
139,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,174240,181.5,3.0,4.0,4,E,120
143,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,174720,182.0,4.0,4.0,4,E,120
144,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,174720,182.0,3.0,11.0,5,F,330
145,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,174720,182.0,3.0,4.0,4,E,120
149,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,175200,182.5,4.0,4.0,4,E,120
150,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,175200,182.5,3.0,11.0,5,F,330
151,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,175200,182.5,3.0,4.0,4,E,120
155,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,175680,183.0,4.0,4.0,4,E,120
156,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,175680,183.0,3.0,11.0,5,F,330
157,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,175680,183.0,3.0,4.0,4,E,120
161,0.0,,,,,,52.0,,,,,,120,note_on,,95.0,52.0,95.0,176160,183.5,4.0,4.0,4,E,120
162,0.0,,,,,,47.0,,,,,,0,note_on,,95.0,47.0,95.0,176160,183.5,3.0,11.0,5,F,330
163,0.0,,,,,,40.0,,,,,,0,note_on,,95.0,40.0,95.0,176160,183.5,3.0,4.0,4,E,120
167,0.0,,,,,,55.0,,,,,,0,note_on,,95.0,55.0,95.0,176280,183.625,4.0,7.0,1,C#,210
168,0.0,,,,,,50.0,,,,,,0,note_on,,95.0,50.0,95.0,176280,183.625,4.0,2.0,2,D,60
169,0.0,,,,,,43.0,,,,,,0,note_on,,95.0,43.0,95.0,176280,183.625,3.0,7.0,1,C#,210
173,0.0,,,,,,52.0,,,,,,0,note_on,,95.0,52.0,95.0,176640,184.0,4.0,4.0,4,E,120
174,0.0,,,,,,47.0,,,,,,0,note_on,,95.0,47.0,95.0,176640,184.0,3.0,11.0,5,F,330
175,0.0,,,,,,40.0,,,,,,0,note_on,,95.0,40.0,95.0,176640,184.0,3.0,4.0,4,E,120
179,0.0,,,,,,52.0,,,,,,240,note_on,,76.0,52.0,76.0,177120,184.5,4.0,4.0,4,E,120
180,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,177120,184.5,3.0,11.0,5,F,330
181,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,177120,184.5,3.0,4.0,4,E,120
185,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,177600,185.0,4.0,4.0,4,E,120
186,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,177600,185.0,3.0,11.0,5,F,330
