,channel,note_midi_value,prior_midi_note,octave,note_name,prior_octave,prior_note_name,edge_count
0,0.0,40.0,45.0,3.0,E,3.0,D#,40
1,0.0,43.0,50.0,3.0,C#,4.0,D,40
2,0.0,45.0,40.0,3.0,D#,3.0,E,5
3,0.0,45.0,43.0,3.0,D#,3.0,C#,5
4,0.0,45.0,52.0,3.0,D#,4.0,E,46
5,0.0,47.0,54.0,3.0,F,4.0,F#,16
6,0.0,48.0,55.0,4.0,C,4.0,C#,24
7,0.0,50.0,40.0,4.0,D,3.0,E,2
8,0.0,50.0,43.0,4.0,D,3.0,C#,35
9,0.0,50.0,47.0,4.0,D,3.0,F,2
10,0.0,50.0,57.0,4.0,D,4.0,D#,24
11,0.0,52.0,40.0,4.0,E,3.0,E,10
12,0.0,52.0,57.0,4.0,E,4.0,D#,36
13,0.0,52.0,59.0,4.0,E,4.0,F,33
14,0.0,54.0,59.0,4.0,F#,4.0,F,16
15,0.0,55.0,60.0,4.0,C#,5.0,C,24
16,0.0,55.0,62.0,4.0,C#,5.0,D,16
17,0.0,57.0,40.0,4.0,D#,3.0,E,8
18,0.0,57.0,47.0,4.0,D#,3.0,F,13
19,0.0,57.0,61.0,4.0,D#,5.0,G,15
20,0.0,57.0,62.0,4.0,D#,5.0,D,24
21,0.0,59.0,48.0,4.0,F,4.0,C,16
22,0.0,59.0,64.0,4.0,F,5.0,E,33
23,0.0,60.0,50.0,5.0,C,4.0,D,24
24,0.0,61.0,40.0,5.0,G,3.0,E,5
25,0.0,61.0,64.0,5.0,G,5.0,E,10
26,0.0,62.0,48.0,5.0,D,4.0,C,8
27,0.0,62.0,52.0,5.0,D,4.0,E,16
28,0.0,62.0,67.0,5.0,D,5.0,C#,16
29,0.0,64.0,40.0,5.0,E,3.0,E,10
30,0.0,64.0,45.0,5.0,E,3.0,D#,16
31,0.0,64.0,55.0,5.0,E,4.0,C#,16
32,0.0,64.0,68.0,5.0,E,5.0,G#,1
33,0.0,67.0,52.0,5.0,C#,4.0,E,16
34,0.0,68.0,47.0,5.0,G#,3.0,F,1
35,1.0,52.0,59.0,4.0,E,4.0,F,16
36,1.0,59.0,64.0,4.0,F,5.0,E,16
37,1.0,64.0,52.0,5.0,E,4.0,E,16
38,2.0,40.0,40.0,3.0,E,3.0,E,1
39,2.0,40.0,45.0,3.0,E,3.0,D#,1
40,2.0,43.0,43.0,3.0,C#,3.0,C#,7
41,2.0,43.0,71.0,3.0,C#,5.0,F,1
42,2.0,45.0,43.0,3.0,D#,3.0,C#,1
43,2.0,45.0,45.0,3.0,D#,3.0,D#,7
44,2.0,75.0,66.0,6.0,A,5.0,F#,1
45,2.0,75.0,78.0,6.0,A,6.0,F#,2
