,channel,pitch,tempo,note_midi_value,note_seconds,octave,note_value,note_name,angle
84,0.0,,,39.0,0.0,3.0,3.0,A,90
86,0.0,,,39.0,0.125,3.0,3.0,A,90
88,0.0,,,39.0,0.375,3.0,3.0,A,90
89,1.0,,,49.0,0.46875,4.0,1.0,G,30
92,1.0,,,51.0,0.5,4.0,3.0,A,90
93,0.0,,,39.0,0.5,3.0,3.0,A,90
96,0.0,,,39.0,0.75,3.0,3.0,A,90
98,0.0,,,39.0,0.875,3.0,3.0,A,90
100,0.0,,,39.0,1.125,3.0,3.0,A,90
102,0.0,,,59.0,1.25,4.0,11.0,F,330
103,0.0,,,52.0,1.25,4.0,4.0,E,120
106,0.0,,,39.0,1.5,3.0,3.0,A,90
108,0.0,,,39.0,1.625,3.0,3.0,A,90
110,0.0,,,57.0,1.75,4.0,9.0,D#,270
111,0.0,,,50.0,1.75,4.0,2.0,D,60
114,0.0,,,39.0,2.0,3.0,3.0,A,90
116,0.0,,,39.0,2.125,3.0,3.0,A,90
118,0.0,,,39.0,2.375,3.0,3.0,A,90
119,1.0,,,49.0,2.46875,4.0,1.0,G,30
122,1.0,,,51.0,2.5,4.0,3.0,A,90
123,0.0,,,39.0,2.5,3.0,3.0,A,90
126,0.0,,,39.0,2.75,3.0,3.0,A,90
128,0.0,,,39.0,2.875,3.0,3.0,A,90
130,0.0,,,39.0,3.125,3.0,3.0,A,90
132,0.0,,,61.0,3.25,5.0,1.0,G,30
133,0.0,,,54.0,3.25,4.0,6.0,F#,180
136,0.0,,,39.0,3.5,3.0,3.0,A,90
138,0.0,,,39.0,3.625,3.0,3.0,A,90
140,0.0,,,60.0,3.75,5.0,0.0,C,0
141,0.0,,,53.0,3.75,4.0,5.0,B,150
144,0.0,,,39.0,4.0,3.0,3.0,A,90
146,0.0,,,39.0,4.125,3.0,3.0,A,90
148,0.0,,,39.0,4.375,3.0,3.0,A,90
149,1.0,,,49.0,4.46875,4.0,1.0,G,30
152,1.0,,,51.0,4.5,4.0,3.0,A,90
153,0.0,,,39.0,4.5,3.0,3.0,A,90
156,0.0,,,39.0,4.75,3.0,3.0,A,90
158,0.0,,,39.0,4.875,3.0,3.0,A,90
160,0.0,,,39.0,5.125,3.0,3.0,A,90
162,0.0,,,59.0,5.25,4.0,11.0,F,330
163,0.0,,,52.0,5.25,4.0,4.0,E,120
166,0.0,,,39.0,5.5,3.0,3.0,A,90
168,0.0,,,39.0,5.625,3.0,3.0,A,90
170,0.0,,,57.0,5.75,4.0,9.0,D#,270
171,0.0,,,50.0,5.75,4.0,2.0,D,60
174,0.0,,,39.0,6.0,3.0,3.0,A,90
176,0.0,,,39.0,6.125,3.0,3.0,A,90
178,0.0,,,39.0,6.375,3.0,3.0,A,90
179,1.0,,,49.0,6.46875,4.0,1.0,G,30
182,1.0,,,51.0,6.5,4.0,3.0,A,90
183,0.0,,,39.0,6.5,3.0,3.0,A,90
186,0.0,,,39.0,6.75,3.0,3.0,A,90
188,0.0,,,39.0,6.875,3.0,3.0,A,90
190,0.0,,,39.0,7.125,3.0,3.0,A,90
192,0.0,,,49.0,7.25,4.0,1.0,G,30
193,0.0,,,42.0,7.25,3.0,6.0,F#,180
196,0.0,,,39.0,7.5,3.0,3.0,A,90
198,0.0,,,39.0,7.625,3.0,3.0,A,90
200,0.0,,,48.0,7.75,4.0,0.0,C,0
201,0.0,,,41.0,7.75,3.0,5.0,B,150
204,0.0,,,39.0,8.0,3.0,3.0,A,90
206,0.0,,,39.0,8.125,3.0,3.0,A,90
208,0.0,,,39.0,8.375,3.0,3.0,A,90
209,1.0,,,49.0,8.46875,4.0,1.0,G,30
212,1.0,,,51.0,8.5,4.0,3.0,A,90
213,0.0,,,39.0,8.5,3.0,3.0,A,90
216,0.0,,,39.0,8.75,3.0,3.0,A,90
218,0.0,,,39.0,8.875,3.0,3.0,A,90
220,0.0,,,39.0,9.125,3.0,3.0,A,90
222,0.0,,,59.0,9.25,4.0,11.0,F,330
223,0.0,,,52.0,9.25,4.0,4.0,E,120
226,0.0,,,39.0,9.5,3.0,3.0,A,90
228,0.0,,,39.0,9.625,3.0,3.0,A,90
230,0.0,,,57.0,9.75,4.0,9.0,D#,270
231,0.0,,,50.0,9.75,4.0,2.0,D,60
234,0.0,,,39.0,10.0,3.0,3.0,A,90
236,0.0,,,39.0,10.125,3.0,3.0,A,90
238,0.0,,,39.0,10.375,3.0,3.0,A,90
239,1.0,,,49.0,10.46875,4.0,1.0,G,30
242,1.0,,,51.0,10.5,4.0,3.0,A,90
243,0.0,,,39.0,10.5,3.0,3.0,A,90
246,0.0,,,39.0,10.75,3.0,3.0,A,90
248,0.0,,,39.0,10.875,3.0,3.0,A,90
250,0.0,,,39.0,11.125,3.0,3.0,A,90
252,0.0,,,61.0,11.25,5.0,1.0,G,30
253,0.0,,,54.0,11.25,4.0,6.0,F#,180
256,0.0,,,39.0,11.5,3.0,3.0,A,90
258,0.0,,,39.0,11.625,3.0,3.0,A,90
260,0.0,,,60.0,11.75,5.0,0.0,C,0
261,0.0,,,53.0,11.75,4.0,5.0,B,150
264,0.0,,,39.0,12.0,3.0,3.0,A,90
266,0.0,,,39.0,12.125,3.0,3.0,A,90
268,0.0,,,39.0,12.375,3.0,3.0,A,90
269,1.0,,,49.0,12.46875,4.0,1.0,G,30
272,1.0,,,51.0,12.5,4.0,3.0,A,90
273,0.0,,,39.0,12.5,3.0,3.0,A,90
276,0.0,,,39.0,12.75,3.0,3.0,A,90
278,0.0,,,39.0,12.875,3.0,3.0,A,90
280,0.0,,,39.0,13.125,3.0,3.0,A,90
282,0.0,,,59.0,13.25,4.0,11.0,F,330
283,0.0,,,52.0,13.25,4.0,4.0,E,120
286,0.0,,,39.0,13.5,3.0,3.0,A,90
288,0.0,,,39.0,13.625,3.0,3.0,A,90
290,0.0,,,57.0,13.75,4.0,9.0,D#,270
291,0.0,,,50.0,13.75,4.0,2.0,D,60
294,0.0,,,39.0,14.0,3.0,3.0,A,90
296,0.0,,,39.0,14.125,3.0,3.0,A,90
298,0.0,,,39.0,14.375,3.0,3.0,A,90
299,1.0,,,49.0,14.46875,4.0,1.0,G,30
302,1.0,,,51.0,14.5,4.0,3.0,A,90
303,0.0,,,39.0,14.5,3.0,3.0,A,90
306,0.0,,,39.0,14.75,3.0,3.0,A,90
308,0.0,,,39.0,14.875,3.0,3.0,A,90
310,0.0,,,39.0,15.125,3.0,3.0,A,90
312,0.0,,,49.0,15.25,4.0,1.0,G,30
313,0.0,,,42.0,15.25,3.0,6.0,F#,180
316,0.0,,,39.0,15.5,3.0,3.0,A,90
318,0.0,,,39.0,15.625,3.0,3.0,A,90
320,0.0,,,48.0,15.75,4.0,0.0,C,0
321,0.0,,,41.0,15.75,3.0,5.0,B,150
324,0.0,,,39.0,16.0,3.0,3.0,A,90
326,0.0,,,39.0,16.125,3.0,3.0,A,90
328,0.0,,,39.0,16.375,3.0,3.0,A,90
329,1.0,,,49.0,16.46875,4.0,1.0,G,30
332,1.0,,,51.0,16.5,4.0,3.0,A,90
333,0.0,,,39.0,16.5,3.0,3.0,A,90
336,0.0,,,39.0,16.75,3.0,3.0,A,90
338,0.0,,,39.0,16.875,3.0,3.0,A,90
340,0.0,,,39.0,17.125,3.0,3.0,A,90
342,0.0,,,59.0,17.25,4.0,11.0,F,330
343,0.0,,,52.0,17.25,4.0,4.0,E,120
346,0.0,,,39.0,17.5,3.0,3.0,A,90
348,0.0,,,39.0,17.625,3.0,3.0,A,90
350,0.0,,,57.0,17.75,4.0,9.0,D#,270
351,0.0,,,50.0,17.75,4.0,2.0,D,60
354,0.0,,,39.0,18.0,3.0,3.0,A,90
356,0.0,,,39.0,18.125,3.0,3.0,A,90
358,0.0,,,39.0,18.375,3.0,3.0,A,90
359,1.0,,,49.0,18.46875,4.0,1.0,G,30
362,1.0,,,51.0,18.5,4.0,3.0,A,90
363,0.0,,,39.0,18.5,3.0,3.0,A,90
366,0.0,,,39.0,18.75,3.0,3.0,A,90
368,0.0,,,39.0,18.875,3.0,3.0,A,90
370,0.0,,,39.0,19.125,3.0,3.0,A,90
372,0.0,,,61.0,19.25,5.0,1.0,G,30
373,0.0,,,54.0,19.25,4.0,6.0,F#,180
376,0.0,,,39.0,19.5,3.0,3.0,A,90
378,0.0,,,39.0,19.625,3.0,3.0,A,90
380,0.0,,,60.0,19.75,5.0,0.0,C,0
381,0.0,,,53.0,19.75,4.0,5.0,B,150
384,0.0,,,39.0,20.0,3.0,3.0,A,90
386,0.0,,,39.0,20.125,3.0,3.0,A,90
388,0.0,,,39.0,20.375,3.0,3.0,A,90
389,1.0,,,49.0,20.46875,4.0,1.0,G,30
392,1.0,,,51.0,20.5,4.0,3.0,A,90
393,0.0,,,39.0,20.5,3.0,3.0,A,90
396,0.0,,,39.0,20.75,3.0,3.0,A,90
398,0.0,,,39.0,20.875,3.0,3.0,A,90
400,0.0,,,39.0,21.125,3.0,3.0,A,90
402,0.0,,,59.0,21.25,4.0,11.0,F,330
403,0.0,,,52.0,21.25,4.0,4.0,E,120
406,0.0,,,39.0,21.5,3.0,3.0,A,90
408,0.0,,,39.0,21.625,3.0,3.0,A,90
410,0.0,,,57.0,21.75,4.0,9.0,D#,270
411,0.0,,,50.0,21.75,4.0,2.0,D,60
414,0.0,,,39.0,22.0,3.0,3.0,A,90
416,0.0,,,39.0,22.125,3.0,3.0,A,90
418,0.0,,,39.0,22.375,3.0,3.0,A,90
419,1.0,,,49.0,22.46875,4.0,1.0,G,30
422,1.0,,,51.0,22.5,4.0,3.0,A,90
423,0.0,,,39.0,22.5,3.0,3.0,A,90
426,0.0,,,39.0,22.75,3.0,3.0,A,90
428,0.0,,,39.0,22.875,3.0,3.0,A,90
430,0.0,,,39.0,23.125,3.0,3.0,A,90
432,0.0,,,49.0,23.25,4.0,1.0,G,30
433,0.0,,,42.0,23.25,3.0,6.0,F#,180
436,0.0,,,39.0,23.5,3.0,3.0,A,90
438,0.0,,,39.0,23.625,3.0,3.0,A,90
440,0.0,,,48.0,23.75,4.0,0.0,C,0
441,0.0,,,41.0,23.75,3.0,5.0,B,150
444,0.0,,,39.0,24.0,3.0,3.0,A,90
446,0.0,,,39.0,24.125,3.0,3.0,A,90
448,0.0,,,39.0,24.375,3.0,3.0,A,90
449,1.0,,,49.0,24.46875,4.0,1.0,G,30
452,1.0,,,51.0,24.5,4.0,3.0,A,90
453,0.0,,,39.0,24.5,3.0,3.0,A,90
456,0.0,,,39.0,24.75,3.0,3.0,A,90
458,0.0,,,39.0,24.875,3.0,3.0,A,90
460,0.0,,,39.0,25.125,3.0,3.0,A,90
462,0.0,,,59.0,25.25,4.0,11.0,F,330
463,0.0,,,52.0,25.25,4.0,4.0,E,120
466,0.0,,,39.0,25.5,3.0,3.0,A,90
468,0.0,,,39.0,25.625,3.0,3.0,A,90
470,0.0,,,57.0,25.75,4.0,9.0,D#,270
471,0.0,,,50.0,25.75,4.0,2.0,D,60
474,0.0,,,39.0,26.0,3.0,3.0,A,90
476,0.0,,,39.0,26.125,3.0,3.0,A,90
478,0.0,,,39.0,26.375,3.0,3.0,A,90
479,1.0,,,49.0,26.46875,4.0,1.0,G,30
482,1.0,,,51.0,26.5,4.0,3.0,A,90
483,0.0,,,39.0,26.5,3.0,3.0,A,90
486,0.0,,,39.0,26.75,3.0,3.0,A,90
488,0.0,,,39.0,26.875,3.0,3.0,A,90
490,0.0,,,39.0,27.125,3.0,3.0,A,90
492,0.0,,,61.0,27.25,5.0,1.0,G,30
493,0.0,,,54.0,27.25,4.0,6.0,F#,180
496,0.0,,,39.0,27.5,3.0,3.0,A,90
498,0.0,,,39.0,27.625,3.0,3.0,A,90
500,0.0,,,60.0,27.75,5.0,0.0,C,0
501,0.0,,,53.0,27.75,4.0,5.0,B,150
504,0.0,,,39.0,28.0,3.0,3.0,A,90
506,0.0,,,39.0,28.125,3.0,3.0,A,90
508,0.0,,,39.0,28.375,3.0,3.0,A,90
509,1.0,,,49.0,28.46875,4.0,1.0,G,30
512,1.0,,,51.0,28.5,4.0,3.0,A,90
513,0.0,,,39.0,28.5,3.0,3.0,A,90
516,0.0,,,39.0,28.75,3.0,3.0,A,90
518,0.0,,,39.0,28.875,3.0,3.0,A,90
520,0.0,,,39.0,29.125,3.0,3.0,A,90
522,0.0,,,59.0,29.25,4.0,11.0,F,330
523,0.0,,,52.0,29.25,4.0,4.0,E,120
526,0.0,,,39.0,29.5,3.0,3.0,A,90
528,0.0,,,39.0,29.625,3.0,3.0,A,90
530,0.0,,,57.0,29.75,4.0,9.0,D#,270
531,0.0,,,50.0,29.75,4.0,2.0,D,60
534,0.0,,,39.0,30.0,3.0,3.0,A,90
536,0.0,,,39.0,30.125,3.0,3.0,A,90
538,0.0,,,39.0,30.375,3.0,3.0,A,90
539,1.0,,,49.0,30.46875,4.0,1.0,G,30
542,1.0,,,51.0,30.5,4.0,3.0,A,90
543,0.0,,,39.0,30.5,3.0,3.0,A,90
546,0.0,,,39.0,30.75,3.0,3.0,A,90
548,0.0,,,39.0,30.875,3.0,3.0,A,90
550,0.0,,,39.0,31.125,3.0,3.0,A,90
552,0.0,,,49.0,31.25,4.0,1.0,G,30
553,0.0,,,42.0,31.25,3.0,6.0,F#,180
556,0.0,,,39.0,31.5,3.0,3.0,A,90
558,0.0,,,39.0,31.625,3.0,3.0,A,90
560,0.0,,,48.0,31.75,4.0,0.0,C,0
561,0.0,,,41.0,31.75,3.0,5.0,B,150
564,0.0,,,39.0,32.0,3.0,3.0,A,90
566,0.0,,,39.0,32.25,3.0,3.0,A,90
568,0.0,,,39.0,32.375,3.0,3.0,A,90
569,1.0,,,49.0,32.46875,4.0,1.0,G,30
572,1.0,,,51.0,32.5,4.0,3.0,A,90
573,0.0,,,39.0,32.5,3.0,3.0,A,90
576,0.0,,,39.0,33.0,3.0,3.0,A,90
578,0.0,,,39.0,33.25,3.0,3.0,A,90
580,0.0,,,39.0,33.375,3.0,3.0,A,90
582,0.0,,,59.0,33.5,4.0,11.0,F,330
583,0.0,,,52.0,33.5,4.0,4.0,E,120
586,0.0,,,58.0,33.625,4.0,10.0,A#,300
587,0.0,,,51.0,33.625,4.0,3.0,A,90
590,0.0,,,57.0,33.75,4.0,9.0,D#,270
591,0.0,,,50.0,33.75,4.0,2.0,D,60
594,0.0,,,39.0,34.0,3.0,3.0,A,90
596,0.0,,,39.0,34.25,3.0,3.0,A,90
598,0.0,,,39.0,34.375,3.0,3.0,A,90
599,1.0,,,49.0,34.46875,4.0,1.0,G,30
602,1.0,,,51.0,34.5,4.0,3.0,A,90
603,0.0,,,39.0,34.5,3.0,3.0,A,90
606,0.0,,,39.0,35.0,3.0,3.0,A,90
608,0.0,,,39.0,35.25,3.0,3.0,A,90
610,0.0,,,39.0,35.375,3.0,3.0,A,90
612,0.0,,,61.0,35.5,5.0,1.0,G,30
613,0.0,,,54.0,35.5,4.0,6.0,F#,180
616,0.0,,,60.0,35.625,5.0,0.0,C,0
617,0.0,,,53.0,35.625,4.0,5.0,B,150
620,0.0,,,59.0,35.75,4.0,11.0,F,330
621,0.0,,,52.0,35.75,4.0,4.0,E,120
624,0.0,,,39.0,36.0,3.0,3.0,A,90
626,0.0,,,39.0,36.25,3.0,3.0,A,90
628,0.0,,,39.0,36.375,3.0,3.0,A,90
629,1.0,,,49.0,36.46875,4.0,1.0,G,30
632,1.0,,,51.0,36.5,4.0,3.0,A,90
633,0.0,,,39.0,36.5,3.0,3.0,A,90
636,0.0,,,39.0,37.0,3.0,3.0,A,90
638,0.0,,,39.0,37.25,3.0,3.0,A,90
640,0.0,,,39.0,37.375,3.0,3.0,A,90
642,0.0,,,59.0,37.5,4.0,11.0,F,330
643,0.0,,,52.0,37.5,4.0,4.0,E,120
646,0.0,,,58.0,37.625,4.0,10.0,A#,300
647,0.0,,,51.0,37.625,4.0,3.0,A,90
650,0.0,,,57.0,37.75,4.0,9.0,D#,270
651,0.0,,,50.0,37.75,4.0,2.0,D,60
654,0.0,,,39.0,38.0,3.0,3.0,A,90
656,0.0,,,39.0,38.25,3.0,3.0,A,90
658,0.0,,,39.0,38.375,3.0,3.0,A,90
659,1.0,,,49.0,38.46875,4.0,1.0,G,30
662,1.0,,,51.0,38.5,4.0,3.0,A,90
663,0.0,,,39.0,38.5,3.0,3.0,A,90
666,0.0,,,39.0,39.0,3.0,3.0,A,90
668,0.0,,,39.0,39.125,3.0,3.0,A,90
670,0.0,,,39.0,39.25,3.0,3.0,A,90
672,0.0,,,39.0,39.375,3.0,3.0,A,90
674,0.0,,,49.0,39.5,4.0,1.0,G,30
675,0.0,,,42.0,39.5,3.0,6.0,F#,180
678,0.0,,,48.0,39.625,4.0,0.0,C,0
679,0.0,,,41.0,39.625,3.0,5.0,B,150
682,0.0,,,47.0,39.75,3.0,11.0,F,330
683,0.0,,,40.0,39.75,3.0,4.0,E,120
