,channel,note_midi_value,prior_midi_note,octave,note_name,prior_octave,prior_note_name,edge_count
0,0.0,39.0,39.0,3.0,A,3.0,A,466
1,0.0,39.0,40.0,3.0,A,3.0,E,4
2,0.0,39.0,41.0,3.0,A,3.0,B,6
3,0.0,39.0,42.0,3.0,A,3.0,F#,25
4,0.0,39.0,44.0,3.0,A,3.0,G#,2
5,0.0,39.0,45.0,3.0,A,3.0,D#,8
6,0.0,39.0,46.0,3.0,A,3.0,A#,5
7,0.0,39.0,48.0,3.0,A,4.0,C,8
8,0.0,39.0,50.0,3.0,A,4.0,D,26
9,0.0,39.0,51.0,3.0,A,4.0,A,52
10,0.0,39.0,52.0,3.0,A,4.0,E,28
11,0.0,39.0,53.0,3.0,A,4.0,B,7
12,0.0,39.0,54.0,3.0,A,4.0,F#,15
13,0.0,39.0,57.0,3.0,A,4.0,D#,2
14,0.0,40.0,47.0,3.0,E,3.0,F,11
15,0.0,41.0,39.0,3.0,B,3.0,A,8
16,0.0,41.0,41.0,3.0,B,3.0,B,98
17,0.0,41.0,42.0,3.0,B,3.0,F#,1
18,0.0,41.0,48.0,3.0,B,4.0,C,32
19,0.0,42.0,43.0,3.0,F#,3.0,C#,1
20,0.0,42.0,44.0,3.0,F#,3.0,G#,8
21,0.0,42.0,47.0,3.0,F#,3.0,F,1
22,0.0,42.0,49.0,3.0,F#,4.0,G,43
23,0.0,43.0,47.0,3.0,C#,3.0,F,1
24,0.0,43.0,50.0,3.0,C#,4.0,D,2
25,0.0,44.0,42.0,3.0,G#,3.0,F#,9
26,0.0,44.0,44.0,3.0,G#,3.0,G#,98
27,0.0,44.0,45.0,3.0,G#,3.0,D#,1
28,0.0,44.0,48.0,3.0,G#,4.0,C,2
29,0.0,44.0,51.0,3.0,G#,4.0,A,4
30,0.0,45.0,46.0,3.0,D#,3.0,A#,5
31,0.0,45.0,52.0,3.0,D#,4.0,E,8
32,0.0,46.0,39.0,3.0,A#,3.0,A,4
33,0.0,46.0,41.0,3.0,A#,3.0,B,1
34,0.0,46.0,47.0,3.0,A#,3.0,F,5
35,0.0,47.0,39.0,3.0,F,3.0,A,5
36,0.0,47.0,41.0,3.0,F,3.0,B,6
37,0.0,47.0,48.0,3.0,F,4.0,C,2
38,0.0,47.0,49.0,3.0,F,4.0,G,5
39,0.0,48.0,39.0,4.0,C,3.0,A,6
40,0.0,48.0,40.0,4.0,C,3.0,E,7
41,0.0,48.0,41.0,4.0,C,3.0,B,8
42,0.0,48.0,42.0,4.0,C,3.0,F#,16
43,0.0,48.0,45.0,4.0,C,3.0,D#,3
44,0.0,48.0,49.0,4.0,C,4.0,G,4
45,0.0,48.0,55.0,4.0,C,4.0,C#,2
46,0.0,49.0,39.0,4.0,G,3.0,A,29
47,0.0,49.0,41.0,4.0,G,3.0,B,12
48,0.0,49.0,43.0,4.0,G,3.0,C#,2
49,0.0,49.0,50.0,4.0,G,4.0,D,7
50,0.0,49.0,53.0,4.0,G,4.0,B,2
51,0.0,50.0,44.0,4.0,D,3.0,G#,2
52,0.0,50.0,53.0,4.0,D,4.0,B,7
53,0.0,50.0,57.0,4.0,D,4.0,D#,26
54,0.0,51.0,39.0,4.0,A,3.0,A,24
55,0.0,51.0,41.0,4.0,A,3.0,B,2
