,channel,clocks_per_click,control,denominator,name,notated_32nd_notes_per_beat,note,numerator,program,tempo,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,octave,note_value,note_value_nmd,note_name,angle
8,0.0,,,,,,76.0,,,,0,note_on,,64.0,76.0,64.0,0,0.0,6.0,4.0,4,E,120
10,0.0,,,,,,76.0,,,,8,note_on,,64.0,76.0,64.0,24,0.125,6.0,4.0,4,E,120
12,0.0,,,,,,76.0,,,,32,note_on,,64.0,76.0,64.0,72,0.375,6.0,4.0,4,E,120
14,0.0,,,,,,72.0,,,,32,note_on,,64.0,72.0,64.0,120,0.625,6.0,0.0,0,C,0
16,0.0,,,,,,76.0,,,,8,note_on,,64.0,76.0,64.0,144,0.75,6.0,4.0,4,E,120
18,0.0,,,,,,79.0,,,,32,note_on,,64.0,79.0,64.0,192,1.0,6.0,7.0,1,C#,210
20,0.0,,,,,,72.0,,,,176,note_on,,64.0,72.0,64.0,384,2.0,6.0,0.0,0,C,0
22,0.0,,,,,,67.0,,,,56,note_on,,64.0,67.0,64.0,456,2.375,5.0,7.0,1,C#,210
24,0.0,,,,,,64.0,,,,56,note_on,,64.0,64.0,64.0,528,2.75,5.0,4.0,4,E,120
26,0.0,,,,,,69.0,,,,56,note_on,,64.0,69.0,64.0,600,3.125,5.0,9.0,3,D#,270
28,0.0,,,,,,71.0,,,,32,note_on,,64.0,71.0,64.0,648,3.375,5.0,11.0,5,F,330
30,0.0,,,,,,70.0,,,,32,note_on,,64.0,70.0,64.0,696,3.625,5.0,10.0,10,A#,300
32,0.0,,,,,,69.0,,,,8,note_on,,64.0,69.0,64.0,720,3.75,5.0,9.0,3,D#,270
34,0.0,,,,,,67.0,,,,32,note_on,,64.0,67.0,64.0,768,4.0,5.0,7.0,1,C#,210
36,0.0,,,,,,76.0,,,,16,note_on,,64.0,76.0,64.0,800,4.166666666666666,6.0,4.0,4,E,120
38,0.0,,,,,,79.0,,,,16,note_on,,64.0,79.0,64.0,832,4.333333333333333,6.0,7.0,1,C#,210
40,0.0,,,,,,81.0,,,,16,note_on,,64.0,81.0,64.0,864,4.5,6.0,9.0,3,D#,270
42,0.0,,,,,,77.0,,,,32,note_on,,64.0,77.0,64.0,912,4.75,6.0,5.0,11,B,150
44,0.0,,,,,,79.0,,,,8,note_on,,64.0,79.0,64.0,936,4.875,6.0,7.0,1,C#,210
46,0.0,,,,,,76.0,,,,32,note_on,,64.0,76.0,64.0,984,5.125,6.0,4.0,4,E,120
48,0.0,,,,,,72.0,,,,32,note_on,,64.0,72.0,64.0,1032,5.375,6.0,0.0,0,C,0
50,0.0,,,,,,74.0,,,,8,note_on,,64.0,74.0,64.0,1056,5.5,6.0,2.0,2,D,60
52,0.0,,,,,,71.0,,,,8,note_on,,64.0,71.0,64.0,1080,5.625,5.0,11.0,5,F,330
54,0.0,,,,,,72.0,,,,56,note_on,,64.0,72.0,64.0,1152,6.0,6.0,0.0,0,C,0
56,0.0,,,,,,67.0,,,,56,note_on,,64.0,67.0,64.0,1224,6.375,5.0,7.0,1,C#,210
58,0.0,,,,,,64.0,,,,56,note_on,,64.0,64.0,64.0,1296,6.75,5.0,4.0,4,E,120
60,0.0,,,,,,69.0,,,,56,note_on,,64.0,69.0,64.0,1368,7.125,5.0,9.0,3,D#,270
62,0.0,,,,,,71.0,,,,32,note_on,,64.0,71.0,64.0,1416,7.375,5.0,11.0,5,F,330
64,0.0,,,,,,70.0,,,,32,note_on,,64.0,70.0,64.0,1464,7.625,5.0,10.0,10,A#,300
66,0.0,,,,,,69.0,,,,8,note_on,,64.0,69.0,64.0,1488,7.75,5.0,9.0,3,D#,270
68,0.0,,,,,,67.0,,,,32,note_on,,64.0,67.0,64.0,1536,8.0,5.0,7.0,1,C#,210
70,0.0,,,,,,76.0,,,,16,note_on,,64.0,76.0,64.0,1568,8.166666666666666,6.0,4.0,4,E,120
72,0.0,,,,,,79.0,,,,16,note_on,,64.0,79.0,64.0,1600,8.333333333333332,6.0,7.0,1,C#,210
74,0.0,,,,,,81.0,,,,16,note_on,,64.0,81.0,64.0,1632,8.5,6.0,9.0,3,D#,270
76,0.0,,,,,,77.0,,,,32,note_on,,64.0,77.0,64.0,1680,8.75,6.0,5.0,11,B,150
78,0.0,,,,,,79.0,,,,8,note_on,,64.0,79.0,64.0,1704,8.875,6.0,7.0,1,C#,210
80,0.0,,,,,,76.0,,,,32,note_on,,64.0,76.0,64.0,1752,9.125,6.0,4.0,4,E,120
82,0.0,,,,,,72.0,,,,32,note_on,,64.0,72.0,64.0,1800,9.375,6.0,0.0,0,C,0
84,0.0,,,,,,74.0,,,,8,note_on,,64.0,74.0,64.0,1824,9.5,6.0,2.0,2,D,60
86,0.0,,,,,,71.0,,,,8,note_on,,64.0,71.0,64.0,1848,9.625,5.0,11.0,5,F,330
88,0.0,,,,,,79.0,,,,104,note_on,,64.0,79.0,64.0,1968,10.25,6.0,7.0,1,C#,210
90,0.0,,,,,,78.0,,,,8,note_on,,64.0,78.0,64.0,1992,10.375,6.0,6.0,6,F#,180
92,0.0,,,,,,77.0,,,,8,note_on,,64.0,77.0,64.0,2016,10.5,6.0,5.0,11,B,150
94,0.0,,,,,,75.0,,,,8,note_on,,64.0,75.0,64.0,2040,10.625,6.0,3.0,9,A,90
96,0.0,,,,,,76.0,,,,32,note_on,,64.0,76.0,64.0,2088,10.875,6.0,4.0,4,E,120
98,0.0,,,,,,68.0,,,,32,note_on,,64.0,68.0,64.0,2136,11.125,5.0,8.0,8,G#,240
100,0.0,,,,,,69.0,,,,8,note_on,,64.0,69.0,64.0,2160,11.25,5.0,9.0,3,D#,270
102,0.0,,,,,,72.0,,,,8,note_on,,64.0,72.0,64.0,2184,11.375,6.0,0.0,0,C,0
104,0.0,,,,,,69.0,,,,32,note_on,,64.0,69.0,64.0,2232,11.625,5.0,9.0,3,D#,270
106,0.0,,,,,,72.0,,,,8,note_on,,64.0,72.0,64.0,2256,11.75,6.0,0.0,0,C,0
108,0.0,,,,,,74.0,,,,8,note_on,,64.0,74.0,64.0,2280,11.875,6.0,2.0,2,D,60
110,0.0,,,,,,79.0,,,,56,note_on,,64.0,79.0,64.0,2352,12.25,6.0,7.0,1,C#,210
112,0.0,,,,,,78.0,,,,8,note_on,,64.0,78.0,64.0,2376,12.375,6.0,6.0,6,F#,180
114,0.0,,,,,,77.0,,,,8,note_on,,64.0,77.0,64.0,2400,12.5,6.0,5.0,11,B,150
116,0.0,,,,,,75.0,,,,8,note_on,,64.0,75.0,64.0,2424,12.625,6.0,3.0,9,A,90
118,0.0,,,,,,76.0,,,,32,note_on,,64.0,76.0,64.0,2472,12.875,6.0,4.0,4,E,120
120,0.0,,,,,,84.0,,,,32,note_on,,64.0,84.0,64.0,2520,13.125,7.0,0.0,0,C,0
122,0.0,,,,,,84.0,,,,32,note_on,,64.0,84.0,64.0,2568,13.375,7.0,0.0,0,C,0
124,0.0,,,,,,84.0,,,,8,note_on,,64.0,84.0,64.0,2592,13.5,7.0,0.0,0,C,0
126,0.0,,,,,,79.0,,,,128,note_on,,64.0,79.0,64.0,2736,14.25,6.0,7.0,1,C#,210
128,0.0,,,,,,78.0,,,,8,note_on,,64.0,78.0,64.0,2760,14.375,6.0,6.0,6,F#,180
130,0.0,,,,,,77.0,,,,8,note_on,,64.0,77.0,64.0,2784,14.5,6.0,5.0,11,B,150
132,0.0,,,,,,75.0,,,,8,note_on,,64.0,75.0,64.0,2808,14.625,6.0,3.0,9,A,90
134,0.0,,,,,,76.0,,,,32,note_on,,64.0,76.0,64.0,2856,14.875,6.0,4.0,4,E,120
136,0.0,,,,,,68.0,,,,32,note_on,,64.0,68.0,64.0,2904,15.125,5.0,8.0,8,G#,240
138,0.0,,,,,,69.0,,,,8,note_on,,64.0,69.0,64.0,2928,15.25,5.0,9.0,3,D#,270
140,0.0,,,,,,72.0,,,,8,note_on,,64.0,72.0,64.0,2952,15.375,6.0,0.0,0,C,0
142,0.0,,,,,,69.0,,,,32,note_on,,64.0,69.0,64.0,3000,15.625,5.0,9.0,3,D#,270
144,0.0,,,,,,72.0,,,,8,note_on,,64.0,72.0,64.0,3024,15.75,6.0,0.0,0,C,0
146,0.0,,,,,,74.0,,,,8,note_on,,64.0,74.0,64.0,3048,15.875,6.0,2.0,2,D,60
148,0.0,,,,,,75.0,,,,56,note_on,,64.0,75.0,64.0,3120,16.25,6.0,3.0,9,A,90
150,0.0,,,,,,74.0,,,,56,note_on,,64.0,74.0,64.0,3192,16.625,6.0,2.0,2,D,60
152,0.0,,,,,,72.0,,,,56,note_on,,64.0,72.0,64.0,3264,17.0,6.0,0.0,0,C,0
154,0.0,,,,,,79.0,,,,224,note_on,,64.0,79.0,64.0,3504,18.25,6.0,7.0,1,C#,210
156,0.0,,,,,,78.0,,,,8,note_on,,64.0,78.0,64.0,3528,18.375,6.0,6.0,6,F#,180
158,0.0,,,,,,77.0,,,,8,note_on,,64.0,77.0,64.0,3552,18.5,6.0,5.0,11,B,150
160,0.0,,,,,,75.0,,,,8,note_on,,64.0,75.0,64.0,3576,18.625,6.0,3.0,9,A,90
162,0.0,,,,,,76.0,,,,32,note_on,,64.0,76.0,64.0,3624,18.875,6.0,4.0,4,E,120
164,0.0,,,,,,68.0,,,,32,note_on,,64.0,68.0,64.0,3672,19.125,5.0,8.0,8,G#,240
166,0.0,,,,,,69.0,,,,8,note_on,,64.0,69.0,64.0,3696,19.25,5.0,9.0,3,D#,270
168,0.0,,,,,,72.0,,,,8,note_on,,64.0,72.0,64.0,3720,19.375,6.0,0.0,0,C,0
170,0.0,,,,,,69.0,,,,32,note_on,,64.0,69.0,64.0,3768,19.625,5.0,9.0,3,D#,270
172,0.0,,,,,,72.0,,,,8,note_on,,64.0,72.0,64.0,3792,19.75,6.0,0.0,0,C,0
174,0.0,,,,,,74.0,,,,8,note_on,,64.0,74.0,64.0,3816,19.875,6.0,2.0,2,D,60
176,0.0,,,,,,79.0,,,,56,note_on,,64.0,79.0,64.0,3888,20.25,6.0,7.0,1,C#,210
178,0.0,,,,,,78.0,,,,8,note_on,,64.0,78.0,64.0,3912,20.375,6.0,6.0,6,F#,180
180,0.0,,,,,,77.0,,,,8,note_on,,64.0,77.0,64.0,3936,20.5,6.0,5.0,11,B,150
182,0.0,,,,,,75.0,,,,8,note_on,,64.0,75.0,64.0,3960,20.625,6.0,3.0,9,A,90
184,0.0,,,,,,76.0,,,,32,note_on,,64.0,76.0,64.0,4008,20.875,6.0,4.0,4,E,120
186,0.0,,,,,,84.0,,,,32,note_on,,64.0,84.0,64.0,4056,21.125,7.0,0.0,0,C,0
188,0.0,,,,,,84.0,,,,32,note_on,,64.0,84.0,64.0,4104,21.375,7.0,0.0,0,C,0
190,0.0,,,,,,84.0,,,,8,note_on,,64.0,84.0,64.0,4128,21.5,7.0,0.0,0,C,0
192,0.0,,,,,,79.0,,,,128,note_on,,64.0,79.0,64.0,4272,22.25,6.0,7.0,1,C#,210
194,0.0,,,,,,78.0,,,,8,note_on,,64.0,78.0,64.0,4296,22.375,6.0,6.0,6,F#,180
196,0.0,,,,,,77.0,,,,8,note_on,,64.0,77.0,64.0,4320,22.5,6.0,5.0,11,B,150
198,0.0,,,,,,75.0,,,,8,note_on,,64.0,75.0,64.0,4344,22.625,6.0,3.0,9,A,90
200,0.0,,,,,,76.0,,,,32,note_on,,64.0,76.0,64.0,4392,22.875,6.0,4.0,4,E,120
202,0.0,,,,,,68.0,,,,32,note_on,,64.0,68.0,64.0,4440,23.125,5.0,8.0,8,G#,240
204,0.0,,,,,,69.0,,,,8,note_on,,64.0,69.0,64.0,4464,23.25,5.0,9.0,3,D#,270
206,0.0,,,,,,72.0,,,,8,note_on,,64.0,72.0,64.0,4488,23.375,6.0,0.0,0,C,0
208,0.0,,,,,,69.0,,,,32,note_on,,64.0,69.0,64.0,4536,23.625,5.0,9.0,3,D#,270
210,0.0,,,,,,72.0,,,,8,note_on,,64.0,72.0,64.0,4560,23.75,6.0,0.0,0,C,0
212,0.0,,,,,,74.0,,,,8,note_on,,64.0,74.0,64.0,4584,23.875,6.0,2.0,2,D,60
214,0.0,,,,,,75.0,,,,56,note_on,,64.0,75.0,64.0,4656,24.25,6.0,3.0,9,A,90
216,0.0,,,,,,74.0,,,,56,note_on,,64.0,74.0,64.0,4728,24.625,6.0,2.0,2,D,60
218,0.0,,,,,,72.0,,,,56,note_on,,64.0,72.0,64.0,4800,25.0,6.0,0.0,0,C,0
220,0.0,,,,,,72.0,,,,176,note_on,,64.0,72.0,64.0,4992,26.0,6.0,0.0,0,C,0
222,0.0,,,,,,72.0,,,,8,note_on,,64.0,72.0,64.0,5016,26.125,6.0,0.0,0,C,0
224,0.0,,,,,,72.0,,,,32,note_on,,64.0,72.0,64.0,5064,26.375,6.0,0.0,0,C,0
226,0.0,,,,,,72.0,,,,32,note_on,,64.0,72.0,64.0,5112,26.625,6.0,0.0,0,C,0
228,0.0,,,,,,74.0,,,,8,note_on,,64.0,74.0,64.0,5136,26.75,6.0,2.0,2,D,60
230,0.0,,,,,,76.0,,,,32,note_on,,64.0,76.0,64.0,5184,27.0,6.0,4.0,4,E,120
232,0.0,,,,,,72.0,,,,8,note_on,,64.0,72.0,64.0,5208,27.125,6.0,0.0,0,C,0
234,0.0,,,,,,69.0,,,,32,note_on,,64.0,69.0,64.0,5256,27.375,5.0,9.0,3,D#,270
236,0.0,,,,,,67.0,,,,8,note_on,,64.0,67.0,64.0,5280,27.5,5.0,7.0,1,C#,210
238,0.0,,,,,,72.0,,,,80,note_on,,64.0,72.0,64.0,5376,28.0,6.0,0.0,0,C,0
240,0.0,,,,,,72.0,,,,8,note_on,,64.0,72.0,64.0,5400,28.125,6.0,0.0,0,C,0
242,0.0,,,,,,72.0,,,,32,note_on,,64.0,72.0,64.0,5448,28.375,6.0,0.0,0,C,0
244,0.0,,,,,,72.0,,,,32,note_on,,64.0,72.0,64.0,5496,28.625,6.0,0.0,0,C,0
246,0.0,,,,,,74.0,,,,8,note_on,,64.0,74.0,64.0,5520,28.75,6.0,2.0,2,D,60
248,0.0,,,,,,76.0,,,,8,note_on,,64.0,76.0,64.0,5544,28.875,6.0,4.0,4,E,120
250,0.0,,,,,,72.0,,,,200,note_on,,64.0,72.0,64.0,5760,30.0,6.0,0.0,0,C,0
252,0.0,,,,,,72.0,,,,8,note_on,,64.0,72.0,64.0,5784,30.125,6.0,0.0,0,C,0
254,0.0,,,,,,72.0,,,,32,note_on,,64.0,72.0,64.0,5832,30.375,6.0,0.0,0,C,0
256,0.0,,,,,,72.0,,,,32,note_on,,64.0,72.0,64.0,5880,30.625,6.0,0.0,0,C,0
258,0.0,,,,,,74.0,,,,8,note_on,,64.0,74.0,64.0,5904,30.75,6.0,2.0,2,D,60
260,0.0,,,,,,76.0,,,,32,note_on,,64.0,76.0,64.0,5952,31.0,6.0,4.0,4,E,120
262,0.0,,,,,,72.0,,,,8,note_on,,64.0,72.0,64.0,5976,31.125,6.0,0.0,0,C,0
264,0.0,,,,,,69.0,,,,32,note_on,,64.0,69.0,64.0,6024,31.375,5.0,9.0,3,D#,270
266,0.0,,,,,,67.0,,,,8,note_on,,64.0,67.0,64.0,6048,31.5,5.0,7.0,1,C#,210
268,0.0,,,,,,76.0,,,,80,note_on,,64.0,76.0,64.0,6144,32.0,6.0,4.0,4,E,120
270,0.0,,,,,,76.0,,,,8,note_on,,64.0,76.0,64.0,6168,32.125,6.0,4.0,4,E,120
272,0.0,,,,,,76.0,,,,32,note_on,,64.0,76.0,64.0,6216,32.375,6.0,4.0,4,E,120
274,0.0,,,,,,72.0,,,,32,note_on,,64.0,72.0,64.0,6264,32.625,6.0,0.0,0,C,0
276,0.0,,,,,,76.0,,,,8,note_on,,64.0,76.0,64.0,6288,32.75,6.0,4.0,4,E,120
278,0.0,,,,,,79.0,,,,32,note_on,,64.0,79.0,64.0,6336,33.0,6.0,7.0,1,C#,210
280,0.0,,,,,,72.0,,,,176,note_on,,64.0,72.0,64.0,6528,34.0,6.0,0.0,0,C,0
282,0.0,,,,,,67.0,,,,56,note_on,,64.0,67.0,64.0,6600,34.375,5.0,7.0,1,C#,210
284,0.0,,,,,,64.0,,,,56,note_on,,64.0,64.0,64.0,6672,34.75,5.0,4.0,4,E,120
286,0.0,,,,,,69.0,,,,56,note_on,,64.0,69.0,64.0,6744,35.125,5.0,9.0,3,D#,270
288,0.0,,,,,,71.0,,,,32,note_on,,64.0,71.0,64.0,6792,35.375,5.0,11.0,5,F,330
290,0.0,,,,,,70.0,,,,32,note_on,,64.0,70.0,64.0,6840,35.625,5.0,10.0,10,A#,300
292,0.0,,,,,,69.0,,,,8,note_on,,64.0,69.0,64.0,6864,35.75,5.0,9.0,3,D#,270
294,0.0,,,,,,67.0,,,,32,note_on,,64.0,67.0,64.0,6912,36.0,5.0,7.0,1,C#,210
296,0.0,,,,,,76.0,,,,16,note_on,,64.0,76.0,64.0,6944,36.166666666666664,6.0,4.0,4,E,120
298,0.0,,,,,,79.0,,,,16,note_on,,64.0,79.0,64.0,6976,36.33333333333333,6.0,7.0,1,C#,210
300,0.0,,,,,,81.0,,,,16,note_on,,64.0,81.0,64.0,7008,36.5,6.0,9.0,3,D#,270
302,0.0,,,,,,77.0,,,,32,note_on,,64.0,77.0,64.0,7056,36.75,6.0,5.0,11,B,150
304,0.0,,,,,,79.0,,,,8,note_on,,64.0,79.0,64.0,7080,36.875,6.0,7.0,1,C#,210
306,0.0,,,,,,76.0,,,,32,note_on,,64.0,76.0,64.0,7128,37.125,6.0,4.0,4,E,120
