,channel,note_midi_value,prior_midi_note,octave,note_name,prior_octave,prior_note_name,edge_count
0,0.0,64.0,67.0,5.0,E,5.0,C#,4
1,0.0,67.0,69.0,5.0,C#,5.0,D#,11
2,0.0,67.0,72.0,5.0,C#,6.0,C,10
3,0.0,68.0,67.0,5.0,G#,5.0,C#,6
4,0.0,68.0,76.0,5.0,G#,6.0,E,4
5,0.0,69.0,64.0,5.0,D#,5.0,E,4
6,0.0,69.0,68.0,5.0,D#,5.0,G#,10
7,0.0,69.0,70.0,5.0,D#,5.0,A#,4
8,0.0,69.0,72.0,5.0,D#,6.0,C,11
9,0.0,69.0,77.0,5.0,D#,6.0,B,6
10,0.0,70.0,71.0,5.0,A#,5.0,F,4
11,0.0,71.0,69.0,5.0,F,5.0,D#,10
12,0.0,71.0,74.0,5.0,F,6.0,D,4
13,0.0,72.0,67.0,6.0,C,5.0,C#,2
14,0.0,72.0,69.0,6.0,C,5.0,D#,8
15,0.0,72.0,71.0,6.0,C,5.0,F,2
16,0.0,72.0,72.0,6.0,C,6.0,C,20
17,0.0,72.0,74.0,6.0,C,6.0,D,5
18,0.0,72.0,76.0,6.0,C,6.0,E,22
19,0.0,72.0,79.0,6.0,C,6.0,C#,2
20,0.0,74.0,72.0,6.0,D,6.0,C,14
21,0.0,74.0,75.0,6.0,D,6.0,A,2
22,0.0,74.0,76.0,6.0,D,6.0,E,3
23,0.0,75.0,74.0,6.0,A,6.0,D,2
24,0.0,75.0,77.0,6.0,A,6.0,B,6
25,0.0,76.0,67.0,6.0,E,5.0,C#,9
26,0.0,76.0,71.0,6.0,E,5.0,F,1
27,0.0,76.0,72.0,6.0,E,6.0,C,4
28,0.0,76.0,74.0,6.0,E,6.0,D,6
29,0.0,76.0,75.0,6.0,E,6.0,A,6
30,0.0,76.0,76.0,6.0,E,6.0,E,6
31,0.0,76.0,77.0,6.0,E,6.0,B,6
32,0.0,76.0,79.0,6.0,E,6.0,C#,5
33,0.0,77.0,69.0,6.0,B,5.0,D#,6
34,0.0,77.0,71.0,6.0,B,5.0,F,3
35,0.0,77.0,77.0,6.0,B,6.0,B,12
36,0.0,77.0,78.0,6.0,B,6.0,F#,6
37,0.0,77.0,79.0,6.0,B,6.0,C#,3
38,0.0,77.0,81.0,6.0,B,6.0,D#,4
39,0.0,78.0,79.0,6.0,F#,6.0,C#,6
40,0.0,79.0,71.0,6.0,C#,5.0,F,1
41,0.0,79.0,72.0,6.0,C#,6.0,C,1
42,0.0,79.0,74.0,6.0,C#,6.0,D,2
43,0.0,79.0,76.0,6.0,C#,6.0,E,7
44,0.0,79.0,77.0,6.0,C#,6.0,B,4
45,0.0,79.0,81.0,6.0,C#,6.0,D#,3
46,0.0,79.0,84.0,6.0,C#,7.0,C,2
47,0.0,81.0,71.0,6.0,D#,5.0,F,3
48,0.0,81.0,79.0,6.0,D#,6.0,C#,4
49,0.0,81.0,81.0,6.0,D#,6.0,D#,6
50,0.0,84.0,76.0,7.0,C,6.0,E,2
51,0.0,84.0,84.0,7.0,C,7.0,C,4
52,1.0,55.0,60.0,4.0,C#,5.0,C,4
53,1.0,60.0,55.0,5.0,C,4.0,C#,4
54,1.0,60.0,60.0,5.0,C,5.0,C,4
55,1.0,60.0,61.0,5.0,C,5.0,G,4
56,1.0,60.0,64.0,5.0,C,5.0,E,11
57,1.0,60.0,67.0,5.0,C,5.0,C#,4
58,1.0,61.0,62.0,5.0,G,5.0,D,4
59,1.0,62.0,60.0,5.0,D,5.0,C,4
60,1.0,62.0,65.0,5.0,D,5.0,B,4
61,1.0,64.0,60.0,5.0,E,5.0,C,4
62,1.0,64.0,62.0,5.0,E,5.0,D,2
63,1.0,64.0,64.0,5.0,E,5.0,E,13
