,channel,key,note_midi_value,note_seconds,octave,note_value,note_name,angle
8,0.0,,64.0,0.0022727272727272726,5.0,4.0,E,120
9,0.0,,55.0,0.0022727272727272726,4.0,7.0,C#,210
11,0.0,,62.0,0.5840909090909091,5.0,2.0,D,60
13,0.0,,60.0,1.1659090909090908,5.0,0.0,C,0
15,0.0,,62.0,1.7477272727272726,5.0,2.0,D,60
18,0.0,,64.0,2.3295454545454546,5.0,4.0,E,120
19,0.0,,55.0,2.3295454545454546,4.0,7.0,C#,210
21,0.0,,64.0,2.911363636363636,5.0,4.0,E,120
23,0.0,,64.0,3.493181818181818,5.0,4.0,E,120
26,0.0,,62.0,4.656818181818181,5.0,2.0,D,60
27,0.0,,55.0,4.656818181818181,4.0,7.0,C#,210
29,0.0,,62.0,5.238636363636363,5.0,2.0,D,60
31,0.0,,62.0,5.820454545454545,5.0,2.0,D,60
34,0.0,,64.0,6.9840909090909085,5.0,4.0,E,120
35,0.0,,55.0,6.9840909090909085,4.0,7.0,C#,210
37,0.0,,67.0,7.5659090909090905,5.0,7.0,C#,210
39,0.0,,67.0,8.147727272727272,5.0,7.0,C#,210
42,0.0,,64.0,9.311363636363636,5.0,4.0,E,120
43,0.0,,55.0,9.311363636363636,4.0,7.0,C#,210
45,0.0,,62.0,9.893181818181818,5.0,2.0,D,60
47,0.0,,60.0,10.475,5.0,0.0,C,0
49,0.0,,62.0,11.056818181818182,5.0,2.0,D,60
52,0.0,,64.0,11.638636363636364,5.0,4.0,E,120
53,0.0,,55.0,11.638636363636364,4.0,7.0,C#,210
55,0.0,,64.0,12.220454545454546,5.0,4.0,E,120
57,0.0,,64.0,12.802272727272726,5.0,4.0,E,120
59,0.0,,64.0,13.384090909090908,5.0,4.0,E,120
62,0.0,,62.0,13.96590909090909,5.0,2.0,D,60
63,0.0,,55.0,13.96590909090909,4.0,7.0,C#,210
65,0.0,,62.0,14.547727272727272,5.0,2.0,D,60
67,0.0,,64.0,15.129545454545454,5.0,4.0,E,120
69,0.0,,62.0,15.711363636363636,5.0,2.0,D,60
72,0.0,,60.0,16.293181818181818,5.0,0.0,C,0
73,0.0,,52.0,16.293181818181818,4.0,4.0,E,120
