,channel,instrument
24,3.0,Lead 3 (calliope)
93,5.0,SynthStrings 1
94,8.0,Pad 3 (polysynth)
95,1.0,Fretless Bass
96,3.0,Lead 3 (calliope)
97,9.0,Acoustic Guitar (steel)
98,0.0,Acoustic Grand Piano
99,7.0,Pad 3 (polysynth)
100,10.0,Acoustic Guitar (nylon)
101,9.0,Acoustic Guitar (steel)
102,6.0,Voice Oohs
103,11.0,Acoustic Guitar (nylon)
106,12.0,Acoustic Guitar (nylon)
121,11.0,Acoustic Guitar (nylon)
131,10.0,Acoustic Guitar (nylon)
140,12.0,Acoustic Guitar (nylon)
463,9.0,Acoustic Guitar (steel)
490,11.0,Acoustic Guitar (nylon)
513,10.0,Acoustic Guitar (nylon)
541,12.0,Acoustic Guitar (nylon)
559,6.0,Voice Oohs
1550,11.0,Acoustic Guitar (nylon)
1573,10.0,Acoustic Guitar (nylon)
1601,12.0,Acoustic Guitar (nylon)
2488,1.0,Fretless Bass
2572,5.0,SynthStrings 1
2589,7.0,Pad 3 (polysynth)
2591,8.0,Pad 3 (polysynth)
2602,11.0,Acoustic Guitar (nylon)
2633,10.0,Acoustic Guitar (nylon)
2666,12.0,Acoustic Guitar (nylon)
3902,11.0,Acoustic Guitar (nylon)
3932,10.0,Acoustic Guitar (nylon)
3967,12.0,Acoustic Guitar (nylon)
5214,11.0,Acoustic Guitar (nylon)
5244,10.0,Acoustic Guitar (nylon)
5273,12.0,Acoustic Guitar (nylon)
6228,11.0,Acoustic Guitar (nylon)
6250,10.0,Acoustic Guitar (nylon)
6278,12.0,Acoustic Guitar (nylon)
7163,11.0,Acoustic Guitar (nylon)
7192,10.0,Acoustic Guitar (nylon)
7228,12.0,Acoustic Guitar (nylon)
8464,11.0,Acoustic Guitar (nylon)
8494,10.0,Acoustic Guitar (nylon)
8528,12.0,Acoustic Guitar (nylon)
9757,11.0,Acoustic Guitar (nylon)
9782,10.0,Acoustic Guitar (nylon)
9809,12.0,Acoustic Guitar (nylon)
10463,11.0,Acoustic Guitar (nylon)
10486,10.0,Acoustic Guitar (nylon)
10511,12.0,Acoustic Guitar (nylon)
11122,11.0,Acoustic Guitar (nylon)
11154,10.0,Acoustic Guitar (nylon)
11187,12.0,Acoustic Guitar (nylon)
12423,11.0,Acoustic Guitar (nylon)
12452,10.0,Acoustic Guitar (nylon)
12488,12.0,Acoustic Guitar (nylon)
13727,11.0,Acoustic Guitar (nylon)
13753,10.0,Acoustic Guitar (nylon)
13786,12.0,Acoustic Guitar (nylon)
