,channel,clocks_per_click,control,denominator,name,notated_32nd_notes_per_beat,note,numerator,pitch,program,tempo,text,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,tpb,channel_chunk,channel_meta,instrument
0,,,,,,,,,,,631578.0,,0,set_tempo,,,,,0,0.0,480,nan_0.0,,
1,,,,,,,,,,,,,0,track_name,,,,,3,0.003125,480,nan_0.0,,
2,,9.0,,4.0,,163.0,,4.0,,,,,0,time_signature,,,,,140294134618112,146139723560.53333,480,nan_36534930890.0,,
3,,,,,,,,,,,,Intro,0,marker,,,,,6,0.00625,480,nan_0.0,,
4,,,,,,,,,,,,Verse,17280,marker,,,,,1,0.0010416666666666667,480,nan_0.0,,
5,,,,,,,,,,,,Chorus,15360,marker,,,,,0,0.0,480,nan_0.0,,
6,,,,,,,,,,,,Keyboard solo...,15360,marker,,,,,0,0.0,480,nan_0.0,,
7,,,,,,,,,,,,Verse,11520,marker,,,,,0,0.0,480,nan_0.0,,
8,,,,,,,,,,,,Chorus,15360,marker,,,,,0,0.0,480,nan_0.0,,
9,,,,,,,,,,,,Break,15360,marker,,,,,0,0.0,480,nan_0.0,,
10,,,,,,,,,,,,Keyboard solo,7680,marker,,,,,0,0.0,480,nan_0.0,,
11,,,,,,,,,,,,Verse,7680,marker,,,,,0,0.0,480,nan_0.0,,
12,,,,,,,,,,,,Keyboard solo,7680,marker,,,,,0,0.0,480,nan_0.0,,
13,,,,,,,,,,,,Verse£,3840,marker,,,,,0,0.0,480,nan_0.0,,
14,,,,,,,,,,,,Chorus,7680,marker,,,,,0,0.0,480,nan_0.0,,
15,,,,,,,,,,,,Guitar solo,15360,marker,,,,,1,0.0010416666666666667,480,nan_0.0,,
16,,,,,,,,,,,,Chorus x2,26880,marker,,,,,1,0.0010416666666666667,480,nan_0.0,,
17,,,,,,,,,,,,,0,end_of_track,,,,,1,0.0010416666666666667,480,nan_0.0,,
18,,,,,Track 1,,,,,,,,0,track_name,,,,,1,0.0010416666666666667,480,nan_0.0,,
19,1.0,,100.0,,,,,,,,,,0,control_change,0.0,,,,0,0.0,480,1.0_0.0,,
20,1.0,,101.0,,,,,,,,,,0,control_change,0.0,,,,0,0.0,480,1.0_0.0,,
