,channel,clocks_per_click,control,denominator,notated_32nd_notes_per_beat,note,numerator,pitch,program,tempo,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,tpb,channel_chunk,channel_meta,instrument
0,0.0,,101.0,,,,,,,,0,control_change,0.0,,,,0,0.0,960,0.0_0.0,,
1,0.0,,100.0,,,,,,,,0,control_change,0.0,,,,0,0.0,960,0.0_0.0,,
2,0.0,,6.0,,,,,,,,0,control_change,12.0,,,,0,0.0,960,0.0_0.0,,
3,0.0,,38.0,,,,,,,,0,control_change,0.0,,,,0,0.0,960,0.0_0.0,,
4,1.0,,101.0,,,,,,,,0,control_change,0.0,,,,0,0.0,960,1.0_0.0,,
5,1.0,,100.0,,,,,,,,0,control_change,0.0,,,,0,0.0,960,1.0_0.0,,
6,1.0,,6.0,,,,,,,,0,control_change,12.0,,,,0,0.0,960,1.0_0.0,,
7,1.0,,38.0,,,,,,,,0,control_change,0.0,,,,0,0.0,960,1.0_0.0,,
8,2.0,,101.0,,,,,,,,0,control_change,0.0,,,,0,0.0,960,2.0_0.0,,
9,2.0,,100.0,,,,,,,,0,control_change,0.0,,,,0,0.0,960,2.0_0.0,,
10,2.0,,6.0,,,,,,,,0,control_change,12.0,,,,0,0.0,960,2.0_0.0,,
11,2.0,,38.0,,,,,,,,0,control_change,0.0,,,,0,0.0,960,2.0_0.0,,
12,3.0,,101.0,,,,,,,,0,control_change,0.0,,,,0,0.0,960,3.0_0.0,,
13,3.0,,100.0,,,,,,,,0,control_change,0.0,,,,0,0.0,960,3.0_0.0,,
14,3.0,,6.0,,,,,,,,0,control_change,12.0,,,,0,0.0,960,3.0_0.0,,
15,3.0,,38.0,,,,,,,,0,control_change,0.0,,,,0,0.0,960,3.0_0.0,,
16,4.0,,101.0,,,,,,,,0,control_change,0.0,,,,0,0.0,960,4.0_0.0,,
17,4.0,,100.0,,,,,,,,0,control_change,0.0,,,,0,0.0,960,4.0_0.0,,
18,4.0,,6.0,,,,,,,,0,control_change,12.0,,,,0,0.0,960,4.0_0.0,,
19,4.0,,38.0,,,,,,,,0,control_change,0.0,,,,0,0.0,960,4.0_0.0,,
20,5.0,,101.0,,,,,,,,0,control_change,0.0,,,,0,0.0,960,5.0_0.0,,
21,5.0,,100.0,,,,,,,,0,control_change,0.0,,,,0,0.0,960,5.0_0.0,,
22,5.0,,6.0,,,,,,,,0,control_change,12.0,,,,0,0.0,960,5.0_0.0,,
23,5.0,,38.0,,,,,,,,0,control_change,0.0,,,,0,0.0,960,5.0_0.0,,
24,6.0,,101.0,,,,,,,,0,control_change,0.0,,,,0,0.0,960,6.0_0.0,,
25,6.0,,100.0,,,,,,,,0,control_change,0.0,,,,0,0.0,960,6.0_0.0,,
