,channel,clocks_per_click,control,denominator,name,notated_32nd_notes_per_beat,note,numerator,program,tempo,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,tpb,channel_chunk,channel_meta,instrument
0,,96.0,,4.0,,8.0,,4.0,,,0,time_signature,,,,,0,0.0,96,nan_0.0,,
1,,,,,,,,,,571428.0,0,set_tempo,,,,,4755337731,24767384.015625,96,nan_6191846.0,,
2,,,,,,,,,,,0,end_of_track,,,,,0,0.0,96,nan_0.0,,
3,,,,,Sequenced by P.J. Barnes,,,,,,0,track_name,,,,,4755337731,24767384.015625,96,nan_6191846.0,,
4,0.0,,0.0,,,,,,,,0,control_change,0.0,,,,0,0.0,96,0.0_0.0,,
5,0.0,,,,,,,,26.0,,0,program_change,,,,,0,0.0,96,0.0_0.0,,
6,,96.0,,4.0,,8.0,,4.0,,,0,time_signature,,,,,4755338128,24767386.083333332,96,nan_6191846.0,,
7,,,,,,,,,,571428.0,0,set_tempo,,,,,4755338184,24767386.375,96,nan_6191846.0,,
8,0.0,,,,,,76.0,,,,0,note_on,,64.0,76.0,64.0,0,0.0,96,0.0_0.0,,
9,0.0,,,,,,76.0,,,,16,note_off,,64.0,76.0,64.0,16,0.08333333333333333,96,0.0_0.0,,
10,0.0,,,,,,76.0,,,,8,note_on,,64.0,76.0,64.0,24,0.125,96,0.0_0.0,,
11,0.0,,,,,,76.0,,,,16,note_off,,64.0,76.0,64.0,40,0.20833333333333331,96,0.0_0.0,,
12,0.0,,,,,,76.0,,,,32,note_on,,64.0,76.0,64.0,72,0.375,96,0.0_0.0,,
13,0.0,,,,,,76.0,,,,16,note_off,,64.0,76.0,64.0,88,0.4583333333333333,96,0.0_0.0,,
14,0.0,,,,,,72.0,,,,32,note_on,,64.0,72.0,64.0,120,0.625,96,0.0_0.0,,
15,0.0,,,,,,72.0,,,,16,note_off,,64.0,72.0,64.0,136,0.7083333333333333,96,0.0_0.0,,
16,0.0,,,,,,76.0,,,,8,note_on,,64.0,76.0,64.0,144,0.75,96,0.0_0.0,,
17,0.0,,,,,,76.0,,,,16,note_off,,64.0,76.0,64.0,160,0.8333333333333333,96,0.0_0.0,,
18,0.0,,,,,,79.0,,,,32,note_on,,64.0,79.0,64.0,192,1.0,96,0.0_0.0,,
19,0.0,,,,,,79.0,,,,16,note_off,,64.0,79.0,64.0,208,1.0833333333333333,96,0.0_0.0,,
20,0.0,,,,,,72.0,,,,176,note_on,,64.0,72.0,64.0,384,2.0,96,0.0_0.0,,
21,0.0,,,,,,72.0,,,,16,note_off,,64.0,72.0,64.0,400,2.083333333333333,96,0.0_0.0,,
22,0.0,,,,,,67.0,,,,56,note_on,,64.0,67.0,64.0,456,2.375,96,0.0_0.0,,
23,0.0,,,,,,67.0,,,,16,note_off,,64.0,67.0,64.0,472,2.458333333333333,96,0.0_0.0,,
24,0.0,,,,,,64.0,,,,56,note_on,,64.0,64.0,64.0,528,2.75,96,0.0_0.0,,
25,0.0,,,,,,64.0,,,,16,note_off,,64.0,64.0,64.0,544,2.833333333333333,96,0.0_0.0,,
26,0.0,,,,,,69.0,,,,56,note_on,,64.0,69.0,64.0,600,3.125,96,0.0_0.0,,
27,0.0,,,,,,69.0,,,,16,note_off,,64.0,69.0,64.0,616,3.208333333333333,96,0.0_0.0,,
28,0.0,,,,,,71.0,,,,32,note_on,,64.0,71.0,64.0,648,3.375,96,0.0_0.0,,
29,0.0,,,,,,71.0,,,,16,note_off,,64.0,71.0,64.0,664,3.458333333333333,96,0.0_0.0,,
30,0.0,,,,,,70.0,,,,32,note_on,,64.0,70.0,64.0,696,3.625,96,0.0_0.0,,
31,0.0,,,,,,70.0,,,,16,note_off,,64.0,70.0,64.0,712,3.708333333333333,96,0.0_0.0,,
32,0.0,,,,,,69.0,,,,8,note_on,,64.0,69.0,64.0,720,3.75,96,0.0_0.0,,
33,0.0,,,,,,69.0,,,,16,note_off,,64.0,69.0,64.0,736,3.833333333333333,96,0.0_0.0,,
