,channel,clocks_per_click,control,denominator,key,notated_32nd_notes_per_beat,note,numerator,program,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds
0,,24.0,,4.0,,8.0,,4.0,,0,time_signature,,,,,0,0.0
1,,,,,C,,,,,0,key_signature,,,,,0,0.0
2,,,,,,,,,,1,end_of_track,,,,,1,0.0022727272727272726
3,0.0,,91.0,,,,,,,0,control_change,58.0,,,,1,0.0022727272727272726
4,0.0,,10.0,,,,,,,0,control_change,69.0,,,,1,0.0022727272727272726
5,0.0,,0.0,,,,,,,0,control_change,0.0,,,,1,0.0022727272727272726
6,0.0,,32.0,,,,,,,0,control_change,0.0,,,,1,0.0022727272727272726
7,0.0,,,,,,,,24.0,0,program_change,,,,,1,0.0022727272727272726
8,0.0,,,,,,64.0,,,0,note_on,,72.0,64.0,72.0,1,0.0022727272727272726
9,0.0,,,,,,55.0,,,0,note_on,,70.0,55.0,70.0,1,0.0022727272727272726
10,0.0,,,,,,64.0,,,231,note_on,,0.0,64.0,0.0,232,0.5272727272727272
11,0.0,,,,,,62.0,,,25,note_on,,72.0,62.0,72.0,257,0.5840909090909091
12,0.0,,,,,,62.0,,,231,note_on,,0.0,62.0,0.0,488,1.1090909090909091
13,0.0,,,,,,60.0,,,25,note_on,,71.0,60.0,71.0,513,1.1659090909090908
14,0.0,,,,,,60.0,,,231,note_on,,0.0,60.0,0.0,744,1.690909090909091
15,0.0,,,,,,62.0,,,25,note_on,,79.0,62.0,79.0,769,1.7477272727272726
16,0.0,,,,,,55.0,,,206,note_on,,0.0,55.0,0.0,975,2.215909090909091
17,0.0,,,,,,62.0,,,25,note_on,,0.0,62.0,0.0,1000,2.2727272727272725
18,0.0,,,,,,64.0,,,25,note_on,,85.0,64.0,85.0,1025,2.3295454545454546
19,0.0,,,,,,55.0,,,0,note_on,,79.0,55.0,79.0,1025,2.3295454545454546
20,0.0,,,,,,64.0,,,231,note_on,,0.0,64.0,0.0,1256,2.8545454545454545
21,0.0,,,,,,64.0,,,25,note_on,,78.0,64.0,78.0,1281,2.911363636363636
22,0.0,,,,,,64.0,,,231,note_on,,0.0,64.0,0.0,1512,3.436363636363636
23,0.0,,,,,,64.0,,,25,note_on,,74.0,64.0,74.0,1537,3.493181818181818
24,0.0,,,,,,55.0,,,462,note_on,,0.0,55.0,0.0,1999,4.543181818181818
25,0.0,,,,,,64.0,,,0,note_on,,0.0,64.0,0.0,1999,4.543181818181818
26,0.0,,,,,,62.0,,,50,note_on,,75.0,62.0,75.0,2049,4.656818181818181
27,0.0,,,,,,55.0,,,0,note_on,,77.0,55.0,77.0,2049,4.656818181818181
28,0.0,,,,,,62.0,,,231,note_on,,0.0,62.0,0.0,2280,5.181818181818182
29,0.0,,,,,,62.0,,,25,note_on,,77.0,62.0,77.0,2305,5.238636363636363
30,0.0,,,,,,62.0,,,231,note_on,,0.0,62.0,0.0,2536,5.763636363636364
31,0.0,,,,,,62.0,,,25,note_on,,75.0,62.0,75.0,2561,5.820454545454545
32,0.0,,,,,,55.0,,,462,note_on,,0.0,55.0,0.0,3023,6.870454545454545
33,0.0,,,,,,62.0,,,0,note_on,,0.0,62.0,0.0,3023,6.870454545454545
34,0.0,,,,,,64.0,,,50,note_on,,82.0,64.0,82.0,3073,6.9840909090909085
35,0.0,,,,,,55.0,,,0,note_on,,79.0,55.0,79.0,3073,6.9840909090909085
36,0.0,,,,,,64.0,,,231,note_on,,0.0,64.0,0.0,3304,7.509090909090909
37,0.0,,,,,,67.0,,,25,note_on,,84.0,67.0,84.0,3329,7.5659090909090905
38,0.0,,,,,,67.0,,,231,note_on,,0.0,67.0,0.0,3560,8.09090909090909
39,0.0,,,,,,67.0,,,25,note_on,,75.0,67.0,75.0,3585,8.147727272727272
40,0.0,,,,,,55.0,,,462,note_on,,0.0,55.0,0.0,4047,9.197727272727272
41,0.0,,,,,,67.0,,,0,note_on,,0.0,67.0,0.0,4047,9.197727272727272
42,0.0,,,,,,64.0,,,50,note_on,,73.0,64.0,73.0,4097,9.311363636363636
